<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCHI.US,D,20110405,000000,45.874,45.924,45.789,45.804,4361,0
MCHI.US,D,20110406,000000,46.104,46.277,45.899,46.037,5374,0
MCHI.US,D,20110407,000000,46.15,46.218,45.781,45.952,8537,0
MCHI.US,D,20110408,000000,46.318,46.318,45.883,46.062,7267,0
MCHI.US,D,20110411,000000,46.141,46.209,45.378,45.387,21475,0
MCHI.US,D,20110412,000000,45.092,45.222,44.811,45.069,8336,0
MCHI.US,D,20110413,000000,45.609,45.609,45.318,45.522,2259,0
MCHI.US,D,20110414,000000,45.522,45.744,45.453,45.659,5449,0
MCHI.US,D,20110415,000000,45.846,45.977,45.592,45.977,11255,0
MCHI.US,D,20110418,000000,45.102,45.299,44.793,45.256,2178,0
MCHI.US,D,20110419,000000,45.283,45.318,45.034,45.188,4478,0
MCHI.US,D,20110420,000000,46.072,46.114,45.822,45.994,6174,0
MCHI.US,D,20110421,000000,46.346,46.517,46.235,46.517,2453,0
MCHI.US,D,20110425,000000,46.309,46.524,45.952,46.037,1116,0
MCHI.US,D,20110426,000000,46.182,46.209,45.865,46.081,5017,0
MCHI.US,D,20110427,000000,46.01,46.01,45.164,45.368,17610,0
MCHI.US,D,20110428,000000,45.014,45.283,45.014,45.144,1073,0
MCHI.US,D,20110429,000000,45.034,45.256,44.69,45.248,2099,0
MCHI.US,D,20110502,000000,45.444,45.735,45.378,45.453,6470,0
MCHI.US,D,20110503,000000,44.827,44.827,44.254,44.288,7695,0
MCHI.US,D,20110504,000000,43.849,43.884,43.626,43.791,2266,0
MCHI.US,D,20110505,000000,43.492,43.6,43.492,43.6,467,0
MCHI.US,D,20110506,000000,44.434,44.434,43.747,43.747,8982,0
MCHI.US,D,20110509,000000,44.013,44.407,43.893,44.244,31569,0
MCHI.US,D,20110510,000000,44.356,44.467,44.356,44.425,5618,0
MCHI.US,D,20110511,000000,44.382,44.382,43.609,43.609,2450,0
MCHI.US,D,20110512,000000,43.715,43.715,43.715,43.715,115,0
MCHI.US,D,20110513,000000,43.988,43.988,43.422,43.517,2280,0
MCHI.US,D,20110516,000000,43.626,43.998,43.591,43.671,1650,0
MCHI.US,D,20110517,000000,43.849,43.849,43.37,43.482,6543,0
MCHI.US,D,20110518,000000,43.911,44.613,43.911,44.613,1049,0
MCHI.US,D,20110519,000000,44.281,44.718,44.281,44.382,7516,0
MCHI.US,D,20110520,000000,44.115,44.235,44.013,44.133,4851,0
MCHI.US,D,20110523,000000,43.131,43.131,42.952,42.952,3648,0
MCHI.US,D,20110524,000000,43.636,43.671,43.179,43.318,14762,0
MCHI.US,D,20110525,000000,43.233,43.636,43.233,43.609,6298,0
MCHI.US,D,20110526,000000,43.686,43.686,43.361,43.636,2433,0
MCHI.US,D,20110527,000000,44.047,44.082,43.945,43.97,5577,0
MCHI.US,D,20110531,000000,44.913,44.949,44.726,44.949,1583,0
MCHI.US,D,20110601,000000,44.903,44.903,44.296,44.296,1457,0
MCHI.US,D,20110602,000000,44.141,44.443,44.047,44.443,17025,0
MCHI.US,D,20110603,000000,43.73,43.869,43.679,43.686,2798,0
MCHI.US,D,20110606,000000,43.544,43.544,43.396,43.396,365,0
MCHI.US,D,20110607,000000,43.824,43.832,43.609,43.662,1751,0
MCHI.US,D,20110608,000000,43.172,43.277,42.959,42.959,1301,0
MCHI.US,D,20110609,000000,42.984,43.251,42.633,43.224,5948,0
MCHI.US,D,20110610,000000,42.754,42.754,41.989,42.271,3034,0
MCHI.US,D,20110613,000000,42.351,42.351,41.904,41.989,168721,0
MCHI.US,D,20110614,000000,42.746,42.822,42.579,42.579,12619,0
MCHI.US,D,20110615,000000,41.929,42.341,41.672,41.765,10539,0
MCHI.US,D,20110616,000000,41.571,41.911,41.388,41.604,8222,0
MCHI.US,D,20110617,000000,41.887,41.887,41.534,41.553,3521,0
MCHI.US,D,20110620,000000,41.414,41.492,41.372,41.492,818,0
MCHI.US,D,20110621,000000,41.904,42.298,41.904,42.271,4315,0
