<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDIV.US,D,20120817,000000,12.685,12.685,12.604,12.615,140470,0
MDIV.US,D,20120820,000000,12.883,12.883,12.591,12.623,82871,0
MDIV.US,D,20120821,000000,12.595,12.651,12.589,12.603,63090,0
MDIV.US,D,20120822,000000,12.603,12.603,12.547,12.589,72402,0
MDIV.US,D,20120823,000000,12.595,12.595,12.546,12.562,148351,0
MDIV.US,D,20120824,000000,12.582,12.608,12.536,12.608,147374,0
MDIV.US,D,20120827,000000,12.608,12.623,12.589,12.615,102126,0
MDIV.US,D,20120828,000000,12.595,12.644,12.595,12.632,265997,0
MDIV.US,D,20120829,000000,12.644,12.691,12.608,12.644,158425,0
MDIV.US,D,20120830,000000,12.659,12.659,12.603,12.632,116302,0
MDIV.US,D,20120831,000000,12.659,12.71,12.623,12.634,86094,0
MDIV.US,D,20120904,000000,12.651,12.703,12.604,12.691,216940,0
MDIV.US,D,20120905,000000,12.71,12.723,12.638,12.664,70762,0
MDIV.US,D,20120906,000000,12.703,12.74,12.696,12.723,93441,0
MDIV.US,D,20120907,000000,12.761,12.761,12.71,12.728,158421,0
MDIV.US,D,20120910,000000,12.732,13.161,12.716,12.728,122078,0
MDIV.US,D,20120911,000000,13.255,13.255,12.716,12.732,81352,0
MDIV.US,D,20120912,000000,12.979,12.979,12.728,12.757,159691,0
MDIV.US,D,20120913,000000,12.773,13.058,12.74,12.846,183818,0
MDIV.US,D,20120914,000000,12.842,12.89,12.842,12.869,66193,0
MDIV.US,D,20120917,000000,12.89,13.101,12.814,12.836,69407,0
MDIV.US,D,20120918,000000,13.033,13.033,12.802,12.814,100847,0
MDIV.US,D,20120919,000000,12.836,12.842,12.777,12.814,201416,0
MDIV.US,D,20120920,000000,12.846,12.846,12.788,12.814,144239,0
MDIV.US,D,20120921,000000,12.851,12.857,12.825,12.833,148328,0
MDIV.US,D,20120924,000000,12.833,13.003,12.818,12.851,51206,0
MDIV.US,D,20120925,000000,12.84,12.84,12.727,12.744,165749,0
MDIV.US,D,20120926,000000,12.759,12.759,12.682,12.693,66085,0
MDIV.US,D,20120927,000000,12.731,12.868,12.693,12.749,86806,0
MDIV.US,D,20120928,000000,12.731,12.749,12.706,12.726,75652,0
MDIV.US,D,20121001,000000,12.712,12.771,12.708,12.731,61394,0
MDIV.US,D,20121002,000000,12.749,12.764,12.726,12.764,104273,0
MDIV.US,D,20121003,000000,12.792,12.819,12.751,12.792,84367,0
MDIV.US,D,20121004,000000,12.819,12.833,12.771,12.819,122665,0
MDIV.US,D,20121005,000000,12.833,12.939,12.808,12.833,53291,0
MDIV.US,D,20121008,000000,12.833,12.833,12.805,12.833,88508,0
MDIV.US,D,20121009,000000,12.846,12.846,12.771,12.771,61597,0
MDIV.US,D,20121010,000000,12.799,12.799,12.731,12.755,113964,0
MDIV.US,D,20121011,000000,12.799,12.805,12.755,12.775,99631,0
MDIV.US,D,20121012,000000,12.868,12.868,12.708,12.736,102981,0
