<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MILN.US,D,20160506,000000,14.658,14.717,14.569,14.707,2481,0
MILN.US,D,20160509,000000,14.737,14.854,14.732,14.816,18175,0
MILN.US,D,20160510,000000,14.886,14.985,14.826,14.976,46704,0
MILN.US,D,20160511,000000,14.936,14.936,14.667,14.687,29468,0
MILN.US,D,20160512,000000,14.767,14.767,14.54,14.648,11645,0
MILN.US,D,20160513,000000,14.648,14.667,14.55,14.579,8662,0
MILN.US,D,20160516,000000,14.598,14.65,14.533,14.648,5908,0
MILN.US,D,20160517,000000,14.589,14.608,14.521,14.521,4719,0
MILN.US,D,20160518,000000,14.421,14.521,14.365,14.401,2767,0
MILN.US,D,20160519,000000,14.274,14.332,14.274,14.322,2622,0
MILN.US,D,20160520,000000,14.322,14.53,14.322,14.492,2732,0
MILN.US,D,20160523,000000,14.569,14.589,14.545,14.559,4909,0
MILN.US,D,20160524,000000,14.579,14.727,14.579,14.717,3033,0
MILN.US,D,20160525,000000,14.757,14.757,14.701,14.757,2986,0
MILN.US,D,20160526,000000,14.786,14.796,14.786,14.796,828,0
MILN.US,D,20160527,000000,14.846,14.876,14.816,14.816,1176,0
MILN.US,D,20160531,000000,14.896,14.916,14.836,14.886,3043,0
MILN.US,D,20160601,000000,14.816,14.886,14.816,14.876,4559,0
MILN.US,D,20160602,000000,14.896,14.946,14.836,14.936,22933,0
MILN.US,D,20160603,000000,14.816,14.866,14.767,14.866,3793,0
MILN.US,D,20160606,000000,14.936,14.936,14.826,14.848,10751,0
MILN.US,D,20160607,000000,14.946,14.995,14.896,14.995,638,0
MILN.US,D,20160608,000000,14.955,14.955,14.866,14.886,599,0
MILN.US,D,20160609,000000,14.894,14.926,14.856,14.926,4685,0
MILN.US,D,20160610,000000,14.816,14.816,14.697,14.747,573,0
MILN.US,D,20160613,000000,14.976,14.976,14.856,14.856,1924,0
MILN.US,D,20160614,000000,14.767,14.776,14.767,14.776,352,0
MILN.US,D,20160615,000000,14.918,14.976,14.916,14.916,3310,0
MILN.US,D,20160616,000000,14.757,14.796,14.757,14.796,1133,0
MILN.US,D,20160617,000000,14.855,14.855,14.826,14.826,599,0
MILN.US,D,20160620,000000,14.956,14.956,14.956,14.956,100,0
MILN.US,D,20160621,000000,14.976,14.976,14.976,14.976,682,0
MILN.US,D,20160622,000000,14.96,15.005,14.96,14.976,1651,0
MILN.US,D,20160623,000000,15.093,15.103,15.006,15.103,2198,0
MILN.US,D,20160624,000000,14.776,14.786,14.608,14.667,4121,0
MILN.US,D,20160627,000000,14.559,14.559,14.224,14.302,6554,0
MILN.US,D,20160628,000000,14.569,14.569,14.569,14.569,451,0
MILN.US,D,20160629,000000,14.846,14.846,14.846,14.846,230,0
MILN.US,D,20160630,000000,14.966,14.995,14.941,14.995,2896,0
MILN.US,D,20160705,000000,14.978,15.01,14.978,15.005,967,0
MILN.US,D,20160706,000000,15.063,15.123,15.063,15.123,222,0
MILN.US,D,20160707,000000,15.179,15.179,15.179,15.179,105,0
MILN.US,D,20160708,000000,15.378,15.527,15.378,15.526,6783,0
MILN.US,D,20160711,000000,15.606,15.636,15.557,15.636,4044,0
MILN.US,D,20160712,000000,15.746,15.746,15.676,15.726,13698,0
MILN.US,D,20160713,000000,15.719,15.719,15.719,15.719,100,0
MILN.US,D,20160714,000000,15.863,15.863,15.746,15.785,1078,0
MILN.US,D,20160715,000000,15.711,15.716,15.696,15.696,2921,0
MILN.US,D,20160718,000000,15.746,15.775,15.666,15.767,4215,0
MILN.US,D,20160719,000000,15.666,15.706,15.666,15.706,3362,0
MILN.US,D,20160720,000000,15.725,15.795,15.725,15.795,1342,0
MILN.US,D,20160721,000000,15.805,15.853,15.731,15.731,3367,0
MILN.US,D,20160722,000000,15.706,15.825,15.706,15.825,1160,0
MILN.US,D,20160725,000000,15.825,15.873,15.825,15.873,2140,0
MILN.US,D,20160726,000000,15.962,15.962,15.847,15.863,1280,0
MILN.US,D,20160727,000000,15.792,15.834,15.719,15.765,2032,0
MILN.US,D,20160728,000000,15.765,15.817,15.736,15.817,1372,0
MILN.US,D,20160729,000000,15.805,15.853,15.805,15.853,381,0
MILN.US,D,20160801,000000,15.903,15.952,15.84,15.863,1863,0
MILN.US,D,20160802,000000,15.923,15.923,15.657,15.669,2655,0
MILN.US,D,20160803,000000,15.557,15.706,15.517,15.706,1792,0
MILN.US,D,20160804,000000,15.746,15.746,15.696,15.696,303,0
MILN.US,D,20160805,000000,15.834,15.893,15.83,15.873,986,0
MILN.US,D,20160808,000000,15.903,15.904,15.815,15.873,3147,0
MILN.US,D,20160809,000000,15.923,15.923,15.828,15.845,1568,0
MILN.US,D,20160810,000000,15.861,15.861,15.832,15.832,609,0
MILN.US,D,20160811,000000,15.962,15.962,15.913,15.932,8333,0
MILN.US,D,20160812,000000,15.932,15.952,15.902,15.932,1908,0
MILN.US,D,20160815,000000,15.972,16.021,15.972,16.02,1879,0
MILN.US,D,20160816,000000,15.962,15.962,15.932,15.952,3114,0
MILN.US,D,20160817,000000,15.972,15.972,15.805,15.825,2334,0
MILN.US,D,20160818,000000,15.853,15.883,15.853,15.863,1889,0
MILN.US,D,20160819,000000,15.873,15.893,15.873,15.893,573,0
MILN.US,D,20160822,000000,15.795,15.913,15.795,15.883,2629,0
MILN.US,D,20160823,000000,15.982,15.982,15.873,15.952,1537,0
MILN.US,D,20160824,000000,16.001,16.001,15.805,15.805,1530,0
MILN.US,D,20160825,000000,15.853,15.882,15.84,15.882,2190,0
MILN.US,D,20160826,000000,15.913,15.913,15.765,15.819,2153,0
MILN.US,D,20160829,000000,15.863,15.893,15.815,15.874,2173,0
MILN.US,D,20160830,000000,15.903,15.903,15.775,15.775,1622,0
MILN.US,D,20160831,000000,15.783,15.783,15.736,15.775,759,0
MILN.US,D,20160901,000000,15.775,15.775,15.682,15.714,949,0
MILN.US,D,20160902,000000,15.863,15.863,15.758,15.785,1411,0
MILN.US,D,20160906,000000,15.843,15.843,15.757,15.825,1705,0
MILN.US,D,20160907,000000,15.861,15.907,15.805,15.873,2204,0
MILN.US,D,20160908,000000,15.873,15.873,15.736,15.736,3954,0
MILN.US,D,20160909,000000,15.577,15.608,15.402,15.448,6555,0
MILN.US,D,20160912,000000,15.348,15.557,15.308,15.547,2193,0
MILN.US,D,20160913,000000,15.527,15.527,15.318,15.384,3896,0
MILN.US,D,20160914,000000,15.401,15.458,15.378,15.378,3219,0
MILN.US,D,20160915,000000,15.428,15.503,15.408,15.503,1824,0
MILN.US,D,20160916,000000,15.438,15.501,15.438,15.501,670,0
MILN.US,D,20160919,000000,15.616,15.616,15.486,15.486,1748,0
MILN.US,D,20160920,000000,15.577,15.577,15.408,15.458,7263,0
MILN.US,D,20160921,000000,15.458,15.597,15.428,15.597,3536,0
MILN.US,D,20160922,000000,15.716,15.736,15.666,15.726,5948,0
MILN.US,D,20160923,000000,15.805,15.863,15.788,15.819,2280,0
