<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFTY.US,D,20120416,000000,25.296,25.296,25.296,25.296,121,0
NFTY.US,D,20120423,000000,24.447,24.447,24.447,24.447,117,0
NFTY.US,D,20120502,000000,25.426,25.426,25.426,25.426,177,0
NFTY.US,D,20120503,000000,25.466,25.466,25.466,25.466,177,0
NFTY.US,D,20120509,000000,24.689,24.689,24.689,24.689,117,0
NFTY.US,D,20120517,000000,23.942,23.97,23.901,23.901,603,0
NFTY.US,D,20120524,000000,23.359,23.359,23.359,23.359,345,0
NFTY.US,D,20120525,000000,23.164,23.164,23.164,23.164,233,0
NFTY.US,D,20120718,000000,22.969,22.969,22.969,22.969,127,0
NFTY.US,D,20120723,000000,22.614,22.614,22.614,22.614,117,0
NFTY.US,D,20120725,000000,22.495,22.495,22.495,22.495,143,0
NFTY.US,D,20120803,000000,23.661,23.661,23.661,23.661,2917,0
NFTY.US,D,20120808,000000,24.036,24.036,24.036,24.036,252,0
NFTY.US,D,20120809,000000,24.386,24.386,24.386,24.386,2917,0
NFTY.US,D,20120921,000000,25.177,25.177,25.177,25.177,4669,0
NFTY.US,D,20120927,000000,24.575,24.575,24.526,24.567,2444,0
NFTY.US,D,20121004,000000,24.575,24.575,24.575,24.575,1030,0
NFTY.US,D,20121008,000000,24.386,24.386,24.386,24.386,233,0
NFTY.US,D,20121107,000000,23.387,23.387,23.387,23.387,2012,0
NFTY.US,D,20121109,000000,23.977,23.977,23.901,23.901,322,0
NFTY.US,D,20121114,000000,23.403,23.403,23.403,23.403,3386,0
NFTY.US,D,20121211,000000,25.177,25.177,25.177,25.177,207,0
NFTY.US,D,20130124,000000,24.841,24.841,24.841,24.841,198,0
NFTY.US,D,20130131,000000,24.826,24.868,24.826,24.868,456,0
NFTY.US,D,20130212,000000,25.226,25.226,25.226,25.226,320,0
NFTY.US,D,20130215,000000,25.27,25.27,25.27,25.27,1963,0
NFTY.US,D,20130306,000000,25.801,25.801,25.801,25.801,1717,0
NFTY.US,D,20130315,000000,25.631,25.682,25.631,25.631,701,0
NFTY.US,D,20130405,000000,25.81,25.81,25.81,25.81,212,0
NFTY.US,D,20130410,000000,25.562,25.562,25.562,25.562,212,0
NFTY.US,D,20130426,000000,26.17,26.195,26.17,26.195,4420,0
NFTY.US,D,20130503,000000,27.131,27.131,27.131,27.131,117,0
NFTY.US,D,20130507,000000,27.001,27.001,27.001,27.001,152,0
NFTY.US,D,20130508,000000,27.37,27.37,27.37,27.37,117,0
NFTY.US,D,20130520,000000,27.197,27.197,27.197,27.197,4317,0
NFTY.US,D,20130607,000000,26.59,26.632,26.59,26.607,1167,0
