<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXTG.US,D,20110308,000000,26.424,26.62,26.227,26.54,14751,0
NXTG.US,D,20110309,000000,26.327,26.604,26.058,26.058,8065,0
NXTG.US,D,20110310,000000,25.667,25.763,25.335,25.345,25020,0
NXTG.US,D,20110311,000000,25.209,25.474,25.083,25.467,12487,0
NXTG.US,D,20110314,000000,25.04,25.2,24.797,25.031,9634,0
NXTG.US,D,20110315,000000,23.922,24.637,23.788,24.637,27792,0
NXTG.US,D,20110316,000000,24.555,24.646,23.903,24.056,27281,0
NXTG.US,D,20110317,000000,24.4,24.4,24.15,24.204,11739,0
NXTG.US,D,20110318,000000,24.459,24.459,24.261,24.351,10286,0
NXTG.US,D,20110321,000000,24.727,24.814,24.475,24.727,10821,0
NXTG.US,D,20110322,000000,24.77,24.77,24.573,24.619,9059,0
NXTG.US,D,20110323,000000,24.36,24.907,24.36,24.907,8921,0
NXTG.US,D,20110324,000000,25.021,25.289,24.932,25.27,16663,0
NXTG.US,D,20110325,000000,25.27,25.307,25.13,25.156,8195,0
NXTG.US,D,20110328,000000,25.209,25.289,25.04,25.083,3743,0
NXTG.US,D,20110329,000000,24.993,25.227,24.993,25.174,18793,0
NXTG.US,D,20110330,000000,25.448,25.493,25.307,25.448,6164,0
NXTG.US,D,20110331,000000,25.399,25.443,25.354,25.39,11698,0
NXTG.US,D,20110401,000000,25.539,25.539,25.307,25.389,2023,0
NXTG.US,D,20110404,000000,25.38,25.38,25.048,25.112,4478,0
NXTG.US,D,20110405,000000,25.415,25.632,25.307,25.448,25329,0
NXTG.US,D,20110406,000000,25.585,25.623,25.407,25.623,53789,0
NXTG.US,D,20110407,000000,25.585,25.623,25.467,25.503,33465,0
NXTG.US,D,20110408,000000,25.484,25.674,25.307,25.38,4721,0
NXTG.US,D,20110411,000000,25.467,25.467,25.04,25.057,2490,0
NXTG.US,D,20110412,000000,24.976,24.976,24.592,24.77,4617,0
NXTG.US,D,20110413,000000,24.984,25.122,24.967,25.122,2330,0
NXTG.US,D,20110414,000000,24.984,25.103,24.907,25.031,3333,0
NXTG.US,D,20110415,000000,25.04,25.13,25.04,25.057,1261,0
NXTG.US,D,20110418,000000,24.852,24.852,24.423,24.655,9342,0
NXTG.US,D,20110419,000000,24.78,24.899,24.6,24.861,8695,0
NXTG.US,D,20110420,000000,25.244,25.632,25.244,25.613,7250,0
NXTG.US,D,20110421,000000,25.753,25.899,25.632,25.899,6862,0
