<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OLD.US,D,20160610,000000,22.314,22.343,22.235,22.235,6848,0
OLD.US,D,20160613,000000,22.225,22.225,22.225,22.225,226,0
OLD.US,D,20160614,000000,22.147,22.163,22,22.006,4806,0
OLD.US,D,20160615,000000,22.112,22.269,22.112,22.225,1242,0
OLD.US,D,20160616,000000,22.095,22.216,22.095,22.216,3756,0
OLD.US,D,20160617,000000,22.222,22.305,22.173,22.295,8427,0
OLD.US,D,20160620,000000,22.404,22.404,22.375,22.375,735,0
OLD.US,D,20160621,000000,22.314,22.314,22.254,22.314,1177,0
OLD.US,D,20160622,000000,22.261,22.261,22.121,22.121,1370,0
OLD.US,D,20160623,000000,22.287,22.366,22.261,22.366,2046,0
OLD.US,D,20160624,000000,22.154,22.349,22.048,22.168,2942,0
OLD.US,D,20160627,000000,22.067,22.112,21.899,22.097,3375,0
OLD.US,D,20160628,000000,22.33,22.566,22.322,22.566,2231,0
OLD.US,D,20160629,000000,22.773,22.835,22.773,22.835,459,0
OLD.US,D,20160706,000000,23.16,23.16,23.16,23.16,126,0
OLD.US,D,20160707,000000,22.958,22.99,22.958,22.99,677,0
OLD.US,D,20160708,000000,23.233,23.233,23.233,23.233,238,0
OLD.US,D,20160711,000000,23.318,23.318,23.237,23.237,557,0
OLD.US,D,20160712,000000,23.388,23.388,23.318,23.369,1457,0
OLD.US,D,20160713,000000,23.458,23.458,23.444,23.444,1154,0
OLD.US,D,20160714,000000,23.318,23.318,23.318,23.318,429,0
OLD.US,D,20160715,000000,23.265,23.28,23.265,23.274,914,0
OLD.US,D,20160718,000000,23.432,23.538,23.432,23.53,1412,0
OLD.US,D,20160719,000000,23.514,23.523,23.504,23.504,637,0
OLD.US,D,20160720,000000,23.698,23.698,23.675,23.698,2346,0
OLD.US,D,20160721,000000,23.759,23.759,23.733,23.733,451,0
OLD.US,D,20160722,000000,24.05,24.05,24.05,24.05,147,0
OLD.US,D,20160725,000000,24.034,24.034,24.034,24.034,226,0
OLD.US,D,20160726,000000,23.928,23.928,23.841,23.841,323,0
OLD.US,D,20160727,000000,23.795,23.795,23.785,23.792,1042,0
OLD.US,D,20160728,000000,23.989,24.044,23.972,24.022,5882,0
OLD.US,D,20160729,000000,24.402,24.405,24.373,24.381,2672,0
OLD.US,D,20160801,000000,24.373,24.373,24.257,24.373,2544,0
OLD.US,D,20160802,000000,24.134,24.134,23.919,23.937,2170,0
OLD.US,D,20160803,000000,23.91,23.91,23.644,23.644,2370,0
OLD.US,D,20160804,000000,23.775,23.775,23.721,23.751,21263,0
OLD.US,D,20160805,000000,23.698,23.698,23.644,23.644,338,0
OLD.US,D,20160808,000000,23.751,23.751,23.693,23.693,2440,0
OLD.US,D,20160809,000000,23.768,23.999,23.768,23.98,2487,0
OLD.US,D,20160810,000000,24.052,24.052,24.052,24.052,131,0
OLD.US,D,20160811,000000,24.115,24.115,23.85,23.85,7125,0
OLD.US,D,20160812,000000,24.121,24.159,24.121,24.159,1411,0
OLD.US,D,20160815,000000,24.221,24.221,24.142,24.142,6143,0
OLD.US,D,20160816,000000,24.079,24.079,23.85,23.868,3513,0
OLD.US,D,20160817,000000,23.832,23.89,23.644,23.89,3119,0
OLD.US,D,20160818,000000,23.928,23.928,23.86,23.893,892,0
OLD.US,D,20160819,000000,23.813,23.972,23.813,23.972,590,0
OLD.US,D,20160822,000000,23.795,23.795,23.795,23.795,1144,0
OLD.US,D,20160823,000000,23.944,23.944,23.944,23.944,358,0
OLD.US,D,20160824,000000,23.901,23.901,23.85,23.85,2078,0
OLD.US,D,20160825,000000,23.91,23.954,23.893,23.893,7156,0
OLD.US,D,20160826,000000,23.972,23.972,23.458,23.572,563,0
OLD.US,D,20160829,000000,23.644,23.867,23.644,23.85,3000,0
OLD.US,D,20160830,000000,23.841,23.841,23.698,23.723,1879,0
OLD.US,D,20160831,000000,23.928,23.928,23.671,23.671,3812,0
OLD.US,D,20160901,000000,23.592,23.629,23.592,23.629,353,0
OLD.US,D,20160902,000000,23.928,23.928,23.813,23.813,1038,0
OLD.US,D,20160906,000000,23.963,24.184,23.898,24.142,2259,0
OLD.US,D,20160907,000000,24.344,24.344,24.344,24.344,113,0
OLD.US,D,20160908,000000,24.184,24.184,24.184,24.184,1520,0
OLD.US,D,20160909,000000,23.759,23.759,23.238,23.238,1513,0
OLD.US,D,20160912,000000,23.053,23.458,23.053,23.45,930,0
OLD.US,D,20160913,000000,23.113,23.113,22.743,22.848,4419,0
OLD.US,D,20160914,000000,22.929,22.937,22.929,22.937,315,0
OLD.US,D,20160915,000000,22.883,22.883,22.767,22.767,852,0
OLD.US,D,20160916,000000,22.821,22.821,22.821,22.821,1144,0
OLD.US,D,20160919,000000,23.068,23.096,23.068,23.096,1129,0
OLD.US,D,20160920,000000,23.164,23.223,23.164,23.164,5385,0
OLD.US,D,20160921,000000,23.071,23.071,23.017,23.017,12706,0
OLD.US,D,20160922,000000,23.565,23.794,23.565,23.794,899,0
OLD.US,D,20160926,000000,23.68,23.901,23.68,23.868,1726,0
OLD.US,D,20160927,000000,23.837,23.837,23.661,23.67,4519,0
OLD.US,D,20160928,000000,23.85,23.85,23.698,23.795,5593,0
OLD.US,D,20160929,000000,23.804,23.86,23.648,23.768,2031,0
OLD.US,D,20160930,000000,23.808,23.808,23.558,23.558,2799,0
OLD.US,D,20161003,000000,23.361,23.361,23.201,23.201,659,0
OLD.US,D,20161004,000000,23.21,23.21,22.87,22.87,2362,0
OLD.US,D,20161005,000000,22.87,22.87,22.548,22.576,1517,0
OLD.US,D,20161006,000000,22.303,22.303,22.303,22.303,129,0
OLD.US,D,20161010,000000,22.264,22.336,22.219,22.336,481,0
OLD.US,D,20161011,000000,22.18,22.18,21.972,21.972,1375,0
OLD.US,D,20161012,000000,22.014,22.131,22.014,22.131,2186,0
OLD.US,D,20161013,000000,22.013,22.013,22.013,22.013,156,0
OLD.US,D,20161014,000000,22.286,22.286,22.286,22.286,223,0
OLD.US,D,20161017,000000,22.192,22.192,22.192,22.192,114,0
OLD.US,D,20161018,000000,22.39,22.478,22.336,22.448,2479,0
OLD.US,D,20161019,000000,22.371,22.441,22.371,22.416,558,0
OLD.US,D,20161020,000000,22.471,22.471,22.471,22.471,262,0
OLD.US,D,20161021,000000,22.432,22.432,22.334,22.334,9522,0
OLD.US,D,20161025,000000,22.336,22.38,22.336,22.375,2500,0
OLD.US,D,20161026,000000,22.174,22.174,22.013,22.013,423,0
OLD.US,D,20161027,000000,21.845,21.845,21.703,21.703,1104,0
OLD.US,D,20161028,000000,21.934,21.934,21.657,21.737,3736,0
OLD.US,D,20161031,000000,21.912,21.912,21.854,21.908,3759,0
OLD.US,D,20161101,000000,21.665,21.665,21.164,21.164,17837,0
OLD.US,D,20161102,000000,21.005,21.005,21.005,21.005,472,0
OLD.US,D,20161103,000000,20.672,20.672,20.672,20.672,208,0
OLD.US,D,20161104,000000,20.65,20.728,20.65,20.728,1115,0
OLD.US,D,20161107,000000,20.989,21.032,20.989,21.032,564,0
OLD.US,D,20161108,000000,20.88,20.88,20.723,20.8,764,0
OLD.US,D,20161109,000000,20.399,20.477,20.032,20.346,3987,0
OLD.US,D,20161110,000000,19.899,19.899,19.871,19.871,448,0
OLD.US,D,20161111,000000,19.925,19.962,19.792,19.82,5610,0
OLD.US,D,20161114,000000,20.192,20.37,20.192,20.326,1182,0
OLD.US,D,20161115,000000,20.37,20.38,20.21,20.23,8310,0
OLD.US,D,20161116,000000,20.272,20.272,20.228,20.228,728,0
OLD.US,D,20161117,000000,20.269,20.269,20.105,20.105,2755,0
OLD.US,D,20161118,000000,20.182,20.182,20.082,20.158,2699,0
OLD.US,D,20161121,000000,20.379,20.379,20.158,20.158,5776,0
OLD.US,D,20161122,000000,20.087,20.244,20.087,20.244,583,0
OLD.US,D,20161123,000000,20.118,20.21,20.105,20.21,821,0
OLD.US,D,20161125,000000,20.301,20.311,20.301,20.311,224,0
OLD.US,D,20161128,000000,20.37,20.37,20.31,20.338,1653,0
OLD.US,D,20161130,000000,20.175,20.242,20.175,20.242,1077,0
OLD.US,D,20161201,000000,20.201,20.201,19.844,19.844,2691,0
OLD.US,D,20161202,000000,20.238,20.272,20.105,20.121,3707,0
OLD.US,D,20161205,000000,20.182,20.238,20.041,20.238,3512,0
OLD.US,D,20161206,000000,20.343,20.343,20.271,20.343,3971,0
OLD.US,D,20161207,000000,20.621,20.81,20.612,20.81,2467,0
OLD.US,D,20161208,000000,20.863,20.943,20.863,20.917,671,0
OLD.US,D,20161209,000000,21.049,21.049,20.933,20.933,2052,0
OLD.US,D,20161212,000000,21.015,21.096,20.89,21.096,2217,0
OLD.US,D,20161213,000000,20.979,21.058,20.979,21.058,2257,0
OLD.US,D,20161214,000000,20.943,20.962,20.497,20.497,705,0
OLD.US,D,20161215,000000,20.343,20.399,20.077,20.077,14282,0
OLD.US,D,20161216,000000,20.431,20.684,20.431,20.684,834,0
OLD.US,D,20161219,000000,20.951,20.979,20.951,20.979,910,0
OLD.US,D,20161220,000000,20.951,21.183,20.951,21.067,2603,0
OLD.US,D,20161221,000000,21.183,21.183,20.921,20.921,1037,0
OLD.US,D,20161222,000000,20.709,20.81,20.709,20.81,651,0
OLD.US,D,20161227,000000,20.837,20.918,20.837,20.897,6589,0
OLD.US,D,20161228,000000,20.828,20.828,20.731,20.731,578,0
OLD.US,D,20161229,000000,20.971,20.971,20.941,20.941,1358,0
OLD.US,D,20161230,000000,21.081,21.17,21.081,21.17,16124,0
OLD.US,D,20170103,000000,21.27,21.27,20.929,21.061,6965,0
OLD.US,D,20170104,000000,21.215,21.377,21.215,21.333,2021,0
OLD.US,D,20170105,000000,21.363,21.597,21.363,21.558,2588,0
OLD.US,D,20170106,000000,21.485,21.485,21.473,21.473,1129,0
OLD.US,D,20170109,000000,21.584,21.584,21.414,21.505,2882,0
OLD.US,D,20170110,000000,21.333,21.361,21.185,21.289,2701,0
OLD.US,D,20170111,000000,21.342,21.406,21.225,21.363,1135,0
OLD.US,D,20170112,000000,21.27,21.495,21.27,21.495,1988,0
OLD.US,D,20170113,000000,21.457,21.505,21.457,21.459,1564,0
OLD.US,D,20170117,000000,21.377,21.712,21.377,21.64,3901,0
OLD.US,D,20170118,000000,21.73,21.784,21.712,21.712,1438,0
OLD.US,D,20170119,000000,21.524,21.524,21.447,21.454,1642,0
OLD.US,D,20170120,000000,21.438,21.55,21.438,21.55,7486,0
OLD.US,D,20170123,000000,21.64,21.739,21.631,21.716,613,0
OLD.US,D,20170124,000000,21.765,21.839,21.713,21.787,2031,0
OLD.US,D,20170125,000000,21.801,21.801,21.695,21.695,2669,0
OLD.US,D,20170126,000000,21.791,21.791,21.572,21.612,8691,0
OLD.US,D,20170130,000000,21.396,21.514,21.386,21.514,667,0
OLD.US,D,20170131,000000,21.361,21.714,21.361,21.65,3949,0
OLD.US,D,20170201,000000,21.605,21.605,21.429,21.457,3567,0
OLD.US,D,20170202,000000,21.567,21.685,21.567,21.658,333,0
OLD.US,D,20170203,000000,21.775,21.775,21.748,21.748,334,0
OLD.US,D,20170206,000000,21.784,21.784,21.775,21.775,590,0
OLD.US,D,20170207,000000,21.72,21.811,21.72,21.765,2044,0
OLD.US,D,20170208,000000,21.631,21.839,21.631,21.839,1225,0
OLD.US,D,20170209,000000,21.757,21.757,21.554,21.611,3908,0
OLD.US,D,20170210,000000,21.571,21.665,21.571,21.665,234,0
OLD.US,D,20170213,000000,21.712,21.757,21.658,21.757,888,0
OLD.US,D,20170214,000000,21.558,21.591,21.558,21.584,2170,0
OLD.US,D,20170215,000000,21.447,21.526,21.447,21.526,727,0
OLD.US,D,20170216,000000,21.695,21.919,21.695,21.893,2892,0
OLD.US,D,20170217,000000,21.823,21.843,21.685,21.701,822,0
OLD.US,D,20170221,000000,21.857,21.95,21.857,21.95,1217,0
OLD.US,D,20170222,000000,22.064,22.082,22.052,22.052,1046,0
OLD.US,D,20170223,000000,22.173,22.246,22.169,22.246,1217,0
OLD.US,D,20170224,000000,22.39,22.442,22.326,22.442,2681,0
OLD.US,D,20170227,000000,22.409,22.467,22.409,22.467,814,0
OLD.US,D,20170228,000000,22.606,22.606,22.516,22.516,332,0
OLD.US,D,20170301,000000,22.525,22.549,22.361,22.549,1992,0
OLD.US,D,20170302,000000,22.371,22.424,22.298,22.424,6421,0
OLD.US,D,20170303,000000,22.317,22.407,22.227,22.407,1141,0
OLD.US,D,20170306,000000,22.12,22.12,22.017,22.055,4185,0
OLD.US,D,20170307,000000,22.045,22.045,21.999,21.999,388,0
OLD.US,D,20170308,000000,21.955,21.955,21.584,21.584,6055,0
OLD.US,D,20170309,000000,21.602,21.602,21.323,21.333,4524,0
OLD.US,D,20170310,000000,21.457,21.457,21.386,21.386,784,0
OLD.US,D,20170313,000000,21.388,21.447,21.388,21.388,685,0
OLD.US,D,20170314,000000,21.361,21.361,21.279,21.293,5022,0
OLD.US,D,20170315,000000,21.361,21.65,21.361,21.602,4869,0
OLD.US,D,20170316,000000,21.675,21.685,21.665,21.665,604,0
OLD.US,D,20170317,000000,21.775,21.783,21.72,21.72,2097,0
OLD.US,D,20170320,000000,21.801,21.82,21.691,21.72,4960,0
OLD.US,D,20170321,000000,21.739,21.739,21.719,21.72,11548,0
OLD.US,D,20170322,000000,21.739,21.739,21.739,21.739,449,0
OLD.US,D,20170323,000000,21.867,21.867,21.867,21.867,342,0
OLD.US,D,20170324,000000,22.19,22.281,22.19,22.263,19882,0
OLD.US,D,20170327,000000,22.227,22.515,22.227,22.418,1263,0
OLD.US,D,20170328,000000,22.451,22.451,22.335,22.335,785,0
OLD.US,D,20170329,000000,22.567,22.578,22.479,22.577,10631,0
OLD.US,D,20170330,000000,22.658,22.705,22.605,22.664,8570,0
OLD.US,D,20170331,000000,22.666,22.742,22.666,22.742,306,0
OLD.US,D,20170403,000000,22.762,22.762,22.742,22.747,2461,0
OLD.US,D,20170404,000000,22.742,22.742,22.713,22.713,1096,0
OLD.US,D,20170405,000000,22.723,22.841,22.723,22.761,2518,0
OLD.US,D,20170407,000000,22.997,22.997,22.859,22.859,1481,0
OLD.US,D,20170410,000000,23.125,23.125,23.024,23.024,1103,0
OLD.US,D,20170411,000000,23.059,23.196,23.059,23.168,4943,0
OLD.US,D,20170412,000000,23.125,23.125,23.125,23.125,220,0
OLD.US,D,20170413,000000,23.079,23.101,23.079,23.101,437,0
