<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONEQ.US,D,20050225,000000,7.1748,7.1748,7.09,7.1474,198422,0
ONEQ.US,D,20050228,000000,7.1155,7.1529,7.0555,7.0927,125429,0
ONEQ.US,D,20050301,000000,7.1456,7.1714,7.128,7.1632,242358,0
ONEQ.US,D,20050302,000000,7.0981,7.2153,7.0981,7.166,434242,0
ONEQ.US,D,20050303,000000,7.1748,7.18,7.0883,7.1237,438607,0
ONEQ.US,D,20050304,000000,7.1861,7.1944,7.1465,7.1679,495650,0
ONEQ.US,D,20050307,000000,7.2622,7.2715,7.1818,7.2258,811181,0
ONEQ.US,D,20050308,000000,7.166,7.2427,7.166,7.1722,202307,0
ONEQ.US,D,20050309,000000,7.1679,7.1953,7.1271,7.1438,280717,0
ONEQ.US,D,20050310,000000,7.1438,7.1438,7.0627,7.1146,386801,0
ONEQ.US,D,20050311,000000,7.1383,7.1596,7.0453,7.0711,119232,0
ONEQ.US,D,20050314,000000,7.06,7.0892,7.0472,7.0838,69308,0
ONEQ.US,D,20050315,000000,7.0865,7.128,7.0395,7.0463,306580,0
ONEQ.US,D,20050316,000000,7.0555,7.0555,6.9593,6.9796,390706,0
ONEQ.US,D,20050317,000000,6.9203,7.0076,6.9178,6.9928,1537774,0
ONEQ.US,D,20050318,000000,6.9574,6.9731,6.9168,6.9301,787931,0
ONEQ.US,D,20050321,000000,6.9133,6.9539,6.8876,6.9386,1746509,0
ONEQ.US,D,20050322,000000,6.9133,6.9769,6.8777,6.8777,1007991,0
ONEQ.US,D,20050323,000000,6.8692,6.9178,6.864,6.8841,124158,0
ONEQ.US,D,20050324,000000,6.8965,6.9477,6.8965,6.8991,6231628,0
ONEQ.US,D,20050328,000000,6.9452,6.9452,6.8919,6.8919,256636,0
ONEQ.US,D,20050329,000000,6.9051,6.9221,6.8081,6.8258,2488973,0
ONEQ.US,D,20050330,000000,6.864,6.9378,6.8585,6.9378,3042456,0
ONEQ.US,D,20050331,000000,6.9301,6.9396,6.8946,6.9042,4191666,0
ONEQ.US,D,20050401,000000,6.9661,6.967,6.853,6.8692,707759,0
ONEQ.US,D,20050404,000000,6.8937,6.9158,6.8239,6.891,172309,0
ONEQ.US,D,20050405,000000,6.9415,6.9415,6.9079,6.9143,71321,0
ONEQ.US,D,20050406,000000,6.9522,6.975,6.9123,6.9133,550419,0
ONEQ.US,D,20050407,000000,6.9133,6.9769,6.9133,6.9769,95642,0
ONEQ.US,D,20050408,000000,6.9857,6.9911,6.9123,6.9194,288186,0
ONEQ.US,D,20050411,000000,6.9143,6.9237,6.8867,6.8876,421075,0
ONEQ.US,D,20050412,000000,6.9016,6.9415,6.8151,6.9415,352388,0
ONEQ.US,D,20050413,000000,6.9386,7.0209,6.8268,6.8295,185285,0
ONEQ.US,D,20050414,000000,6.8211,6.8318,6.7354,6.7481,583541,0
ONEQ.US,D,20050415,000000,6.694,6.7066,6.5891,6.6019,619677,0
ONEQ.US,D,20050418,000000,6.5927,6.64,6.5927,6.6192,546755,0
ONEQ.US,D,20050419,000000,6.6544,6.7417,6.6338,6.68,284181,0
ONEQ.US,D,20050420,000000,6.8884,6.8884,6.6192,6.6302,474162,0
ONEQ.US,D,20050421,000000,6.6481,6.7914,6.6481,6.7701,735655,0
ONEQ.US,D,20050422,000000,6.7579,6.7579,6.6509,6.6975,501718,0
ONEQ.US,D,20050425,000000,6.7241,6.7471,6.7183,6.7389,1200746,0
ONEQ.US,D,20050426,000000,6.7066,6.7657,6.6727,6.6727,213932,0
ONEQ.US,D,20050427,000000,6.64,6.695,6.6209,6.6719,874291,0
ONEQ.US,D,20050428,000000,6.6534,6.6649,6.5819,6.5819,187719,0
ONEQ.US,D,20050429,000000,6.5649,6.6509,6.5376,6.6409,124168,0
ONEQ.US,D,20050502,000000,6.6737,6.6869,6.6462,6.6462,71551,0
ONEQ.US,D,20050503,000000,6.6632,6.7249,6.6632,6.6818,109910,0
