<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDBC.US,D,20141111,000000,21.931,22.168,21.931,22.115,9087,0
PDBC.US,D,20141112,000000,22.185,22.185,22.097,22.097,916,0
PDBC.US,D,20141113,000000,21.965,21.965,21.595,21.621,3295,0
PDBC.US,D,20141118,000000,21.763,21.763,21.649,21.683,13593,0
PDBC.US,D,20141119,000000,21.754,21.754,21.613,21.613,2963,0
PDBC.US,D,20141121,000000,22.001,22.009,21.824,21.965,9444,0
PDBC.US,D,20141124,000000,21.921,21.921,21.782,21.807,1023,0
PDBC.US,D,20141125,000000,21.956,21.956,21.701,21.71,7454,0
PDBC.US,D,20141126,000000,21.772,21.772,21.772,21.772,151,0
PDBC.US,D,20141128,000000,21.059,21.059,20.697,20.697,3510,0
PDBC.US,D,20141201,000000,20.759,20.759,20.645,20.759,6811,0
PDBC.US,D,20141202,000000,20.769,20.936,20.654,20.654,1406,0
PDBC.US,D,20141203,000000,20.654,20.697,20.566,20.566,1366,0
PDBC.US,D,20141204,000000,20.539,20.592,20.503,20.522,25006,0
PDBC.US,D,20141208,000000,20.133,20.171,20.116,20.116,1476,0
PDBC.US,D,20141209,000000,20.152,20.318,20.116,20.275,31809,0
PDBC.US,D,20141210,000000,20.513,20.513,20.046,20.046,227,0
PDBC.US,D,20141211,000000,19.895,19.932,19.825,19.834,35655,0
PDBC.US,D,20141212,000000,19.792,19.792,19.651,19.659,58709,0
PDBC.US,D,20141215,000000,19.659,19.659,19.315,19.315,1926,0
PDBC.US,D,20141216,000000,19.193,19.403,19.157,19.235,15997,0
PDBC.US,D,20141217,000000,22.009,22.009,19.157,19.378,6984,0
PDBC.US,D,20141218,000000,19.576,19.589,19.307,19.398,15063,0
PDBC.US,D,20141219,000000,19.421,19.605,19.315,19.605,3930,0
PDBC.US,D,20141222,000000,19.605,19.605,19.193,19.193,4159,0
PDBC.US,D,20141223,000000,19.244,19.473,19.244,19.43,61654,0
PDBC.US,D,20141224,000000,19.2,19.21,19.13,19.144,17833,0
PDBC.US,D,20141226,000000,19.244,19.244,19.087,19.13,14063,0
PDBC.US,D,20141229,000000,19.253,19.253,18.963,18.963,17228,0
PDBC.US,D,20141230,000000,18.999,18.999,18.946,18.963,11695,0
PDBC.US,D,20141231,000000,18.682,18.787,18.664,18.787,10312,0
PDBC.US,D,20150102,000000,19.702,19.702,18.594,18.629,7553,0
PDBC.US,D,20150105,000000,18.531,18.531,18.365,18.4,2891,0
PDBC.US,D,20150106,000000,18.312,18.408,18.177,18.177,6238,0
PDBC.US,D,20150107,000000,18.215,18.215,18.065,18.071,1336,0
PDBC.US,D,20150108,000000,18.075,18.118,18.03,18.083,3190,0
PDBC.US,D,20150109,000000,18.453,18.453,17.995,17.995,2159,0
PDBC.US,D,20150112,000000,17.757,17.924,17.757,17.78,948,0
PDBC.US,D,20150113,000000,17.713,17.713,17.677,17.677,751,0
PDBC.US,D,20150114,000000,17.572,17.853,17.507,17.851,5835,0
PDBC.US,D,20150115,000000,17.651,17.678,17.616,17.624,8330,0
PDBC.US,D,20150116,000000,17.775,17.91,17.721,17.91,1934,0
PDBC.US,D,20150120,000000,17.678,17.731,17.608,17.687,4690,0
PDBC.US,D,20150121,000000,18.127,18.127,17.757,17.765,2160,0
PDBC.US,D,20150122,000000,17.752,17.818,17.748,17.813,1847,0
