<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDEV.US,D,20200316,000000,19.037,19.037,19.037,19.037,106,0
PDEV.US,D,20200318,000000,17.268,17.513,17.268,17.414,1537,0
PDEV.US,D,20200327,000000,19.503,19.512,19.503,19.512,491,0
PDEV.US,D,20200401,000000,19.306,19.306,19.226,19.226,155,0
PDEV.US,D,20200424,000000,20.728,20.728,20.728,20.728,467,0
PDEV.US,D,20200506,000000,20.99,20.99,20.808,20.808,172,0
PDEV.US,D,20200624,000000,23.15,23.209,23.046,23.046,2266,0
PDEV.US,D,20200625,000000,23.086,23.381,23.086,23.381,205,0
PDEV.US,D,20200629,000000,23.16,23.16,23.16,23.16,1080,0
PDEV.US,D,20200702,000000,23.593,23.593,23.521,23.521,107,0
PDEV.US,D,20200709,000000,23.454,23.454,23.356,23.356,105,0
PDEV.US,D,20200720,000000,24.18,24.18,24.18,24.18,1021,0
PDEV.US,D,20200729,000000,24.374,24.402,24.256,24.402,716,0
PDEV.US,D,20200731,000000,23.513,23.513,23.513,23.513,105,0
PDEV.US,D,20200803,000000,23.659,23.659,23.659,23.659,102,0
PDEV.US,D,20200811,000000,24.748,24.748,24.748,24.748,103,0
PDEV.US,D,20200817,000000,24.982,24.982,24.982,24.982,104,0
PDEV.US,D,20200818,000000,24.942,24.942,24.914,24.914,105,0
PDEV.US,D,20200902,000000,25.059,25.162,25.059,25.162,1534759,0
PDEV.US,D,20200909,000000,24.981,24.982,24.923,24.923,1021,0
PDEV.US,D,20200911,000000,24.806,24.86,24.805,24.86,1023,0
PDEV.US,D,20200915,000000,25.206,25.206,25.168,25.168,589,0
PDEV.US,D,20200918,000000,24.952,24.952,24.668,24.919,8294,0
PDEV.US,D,20201002,000000,24.314,24.33,24.284,24.33,1224,0
PDEV.US,D,20201022,000000,24.51,24.599,24.509,24.513,613,0
PDEV.US,D,20201103,000000,24.177,24.206,24.177,24.206,1070,0
PDEV.US,D,20201104,000000,24.49,24.552,24.49,24.552,610,0
PDEV.US,D,20201111,000000,26.378,26.392,26.378,26.392,4172,0
PDEV.US,D,20201116,000000,26.643,26.741,26.643,26.741,2036,0
PDEV.US,D,20201120,000000,26.879,26.879,26.864,26.864,411,0
PDEV.US,D,20201211,000000,27.506,27.506,27.506,27.506,1,0
PDEV.US,D,20201223,000000,27.773,27.773,27.773,27.773,1,0
PDEV.US,D,20201231,000000,28.313,28.313,28.313,28.313,1,0
PDEV.US,D,20210105,000000,28.263,28.263,28.263,28.263,6,0
PDEV.US,D,20210106,000000,28.412,28.412,28.412,28.412,1,0
PDEV.US,D,20210107,000000,28.916,28.953,28.877,28.953,282591,0
PDEV.US,D,20210108,000000,29.064,29.064,29.016,29.016,304,0
PDEV.US,D,20210111,000000,28.69,28.778,28.67,28.686,92602,0
PDEV.US,D,20210113,000000,29.044,29.044,28.966,29.001,710,0
PDEV.US,D,20210115,000000,28.71,28.745,28.71,28.745,103,0
PDEV.US,D,20210202,000000,28.71,28.745,28.71,28.745,8,0
PDEV.US,D,20210203,000000,28.71,28.745,28.71,28.745,16,0
PDEV.US,D,20210204,000000,28.532,28.568,28.532,28.568,52135,0
PDEV.US,D,20210216,000000,29.671,29.686,29.594,29.594,1576,0
