<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDP.US,D,20070301,000000,22.842,23.325,22.754,23.151,273793,0
PDP.US,D,20070302,000000,23.054,23.122,22.688,22.725,97762,0
PDP.US,D,20070305,000000,22.476,22.638,22.264,22.264,45613,0
PDP.US,D,20070306,000000,22.668,22.947,22.591,22.86,47481,0
PDP.US,D,20070307,000000,22.851,23.082,22.812,22.86,141406,0
PDP.US,D,20070308,000000,23.201,23.403,23.151,23.201,85629,0
PDP.US,D,20070309,000000,23.393,23.393,23.201,23.325,41987,0
PDP.US,D,20070312,000000,23.315,23.452,23.171,23.403,69355,0
PDP.US,D,20070313,000000,23.315,23.393,22.842,22.842,51212,0
PDP.US,D,20070314,000000,22.977,22.977,22.601,22.957,39499,0
PDP.US,D,20070315,000000,23.054,23.161,22.957,23.122,21874,0
PDP.US,D,20070316,000000,23.171,23.181,22.889,22.987,51315,0
PDP.US,D,20070319,000000,23.191,23.315,23.092,23.315,31308,0
PDP.US,D,20070320,000000,23.355,23.53,23.305,23.51,53806,0
PDP.US,D,20070321,000000,23.604,23.959,23.51,23.922,255236,0
PDP.US,D,20070322,000000,24.068,25.641,23.833,23.931,167115,0
PDP.US,D,20070323,000000,23.989,24.086,23.969,24.028,89883,0
PDP.US,D,20070326,000000,24.116,24.125,23.736,23.989,101285,0
PDP.US,D,20070327,000000,23.999,23.999,23.862,23.931,99733,0
PDP.US,D,20070328,000000,23.775,23.853,23.642,23.679,49968,0
PDP.US,D,20070329,000000,23.922,23.989,23.585,23.813,64069,0
PDP.US,D,20070330,000000,23.872,24.018,23.727,23.853,43854,0
PDP.US,D,20070402,000000,23.949,24.068,23.853,24.038,57328,0
PDP.US,D,20070403,000000,24.173,24.328,24.173,24.27,218849,0
PDP.US,D,20070404,000000,24.357,24.374,24.223,24.367,275760,0
PDP.US,D,20070405,000000,24.384,24.434,24.26,24.404,227760,0
PDP.US,D,20070409,000000,24.646,24.646,24.443,24.52,214698,0
PDP.US,D,20070410,000000,24.607,24.704,24.511,24.589,127306,0
PDP.US,D,20070411,000000,24.636,24.636,24.3,24.367,101491,0
PDP.US,D,20070412,000000,24.384,24.491,24.28,24.481,67177,0
PDP.US,D,20070413,000000,24.54,24.56,24.384,24.56,152187,0
PDP.US,D,20070416,000000,24.743,24.877,24.598,24.782,159029,0
PDP.US,D,20070417,000000,24.772,25.35,24.685,24.792,74953,0
PDP.US,D,20070418,000000,24.646,24.792,24.501,24.714,141717,0
PDP.US,D,20070419,000000,24.646,24.743,24.453,24.656,44684,0
PDP.US,D,20070420,000000,24.905,25.012,24.743,24.885,95997,0
PDP.US,D,20070423,000000,24.944,25.088,24.934,25.04,79307,0
PDP.US,D,20070424,000000,25.068,25.068,24.839,24.983,84698,0
PDP.US,D,20070425,000000,25.049,25.592,24.934,25.097,57639,0
PDP.US,D,20070426,000000,25.214,25.262,25.068,25.214,74953,0
PDP.US,D,20070427,000000,25.078,25.195,25.002,25.156,44787,0
PDP.US,D,20070430,000000,25.088,25.127,24.724,24.762,97451,0
PDP.US,D,20070501,000000,24.656,24.743,24.434,24.598,50385,0
PDP.US,D,20070502,000000,24.627,25.146,24.627,25.088,65103,0
PDP.US,D,20070503,000000,25.127,25.127,24.915,25.012,76092,0
PDP.US,D,20070504,000000,25.078,25.661,25.021,25.117,35350,0
PDP.US,D,20070507,000000,25.242,25.242,25.058,25.137,68319,0
PDP.US,D,20070508,000000,25.078,25.185,24.839,25.166,106781,0
PDP.US,D,20070509,000000,25.175,25.514,25.166,25.495,63860,0
PDP.US,D,20070510,000000,25.388,25.388,24.983,25.049,86978,0
PDP.US,D,20070511,000000,24.983,25.397,24.983,25.388,47585,0
PDP.US,D,20070514,000000,25.495,25.495,25.242,25.32,30480,0
PDP.US,D,20070515,000000,25.37,25.485,25.117,25.185,66662,0
PDP.US,D,20070516,000000,25.311,25.311,25.03,25.224,79098,0
PDP.US,D,20070517,000000,25.175,25.271,25.068,25.204,38048,0
PDP.US,D,20070518,000000,25.291,25.388,25.117,25.32,34004,0
PDP.US,D,20070521,000000,25.417,25.949,25.35,25.505,118700,0
PDP.US,D,20070522,000000,25.611,25.621,25.456,25.495,95581,0
PDP.US,D,20070523,000000,25.573,25.737,25.465,25.465,45407,0
PDP.US,D,20070524,000000,25.505,25.661,24.944,25.03,91126,0
PDP.US,D,20070525,000000,25.146,25.553,25.088,25.214,39601,0
PDP.US,D,20070529,000000,25.388,25.388,25.224,25.35,46029,0
PDP.US,D,20070530,000000,25.127,25.737,25.127,25.737,112794,0
PDP.US,D,20070531,000000,25.865,25.93,25.727,25.826,59404,0
PDP.US,D,20070601,000000,26.044,26.054,25.865,25.911,87496,0
PDP.US,D,20070604,000000,25.977,26.044,25.845,25.986,83038,0
PDP.US,D,20070605,000000,26.044,26.044,25.727,25.891,87704,0
PDP.US,D,20070606,000000,25.669,25.756,25.38,25.465,63239,0
PDP.US,D,20070607,000000,25.427,25.465,24.885,24.885,52563,0
PDP.US,D,20070608,000000,24.801,25.175,24.714,25.175,99627,0
PDP.US,D,20070611,000000,25.049,25.214,25.002,25.097,56498,0
PDP.US,D,20070612,000000,24.963,25.078,24.762,24.792,34419,0
PDP.US,D,20070613,000000,24.973,25.185,24.885,25.185,75783,0
PDP.US,D,20070614,000000,25.271,25.543,25.271,25.397,55979,0
PDP.US,D,20070615,000000,25.661,25.687,25.534,25.621,199565,0
PDP.US,D,20070618,000000,25.776,25.977,25.563,25.621,732219,0
PDP.US,D,20070619,000000,25.514,25.707,25.465,25.707,70186,0
PDP.US,D,20070620,000000,25.631,25.756,25.242,25.242,61475,0
PDP.US,D,20070621,000000,25.156,25.388,25.078,25.36,61063,0
PDP.US,D,20070622,000000,25.417,25.417,25.078,25.175,40223,0
PDP.US,D,20070625,000000,25.262,25.291,24.905,24.963,57328,0
PDP.US,D,20070626,000000,25.137,25.137,24.762,24.762,31099,0
PDP.US,D,20070627,000000,24.598,25.107,24.251,25.107,80135,0
PDP.US,D,20070628,000000,25.185,25.301,25.068,25.156,71219,0
PDP.US,D,20070629,000000,25.311,25.37,24.953,25.078,108747,0
PDP.US,D,20070702,000000,25.175,25.505,25.175,25.505,42817,0
PDP.US,D,20070703,000000,25.563,25.697,25.563,25.621,13577,0
PDP.US,D,20070705,000000,25.806,25.806,25.573,25.756,51627,0
PDP.US,D,20070706,000000,25.806,25.949,25.475,25.949,392079,0
PDP.US,D,20070709,000000,26.025,26.121,25.94,26.063,31099,0
PDP.US,D,20070710,000000,26.044,26.044,25.669,25.717,73296,0
PDP.US,D,20070711,000000,25.602,25.93,25.602,25.92,157266,0
PDP.US,D,20070712,000000,26.112,26.342,26.112,26.333,184013,0
PDP.US,D,20070713,000000,26.451,26.506,26.324,26.486,60023,0
PDP.US,D,20070716,000000,26.574,26.574,26.238,26.276,133110,0
PDP.US,D,20070717,000000,26.477,26.477,26.218,26.257,153122,0
PDP.US,D,20070718,000000,26.18,26.296,26.006,26.296,44267,0
PDP.US,D,20070719,000000,26.382,26.506,26.362,26.486,43956,0
PDP.US,D,20070720,000000,26.545,26.545,26.035,26.15,53495,0
PDP.US,D,20070723,000000,26.315,26.315,26.093,26.131,36592,0
PDP.US,D,20070724,000000,25.835,25.901,25.388,25.465,82729,0
PDP.US,D,20070725,000000,25.573,25.651,24.983,25.281,86873,0
PDP.US,D,20070726,000000,25.078,25.078,24.183,24.598,206714,0
PDP.US,D,20070727,000000,24.598,24.801,24.203,24.3,85733,0
