<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEY.US,D,20050225,000000,10.069,10.17,10.027,10.17,259684,0
PEY.US,D,20050228,000000,10.17,10.188,10.083,10.143,541963,0
PEY.US,D,20050301,000000,10.163,10.236,10.163,10.211,288704,0
PEY.US,D,20050302,000000,10.181,10.25,10.157,10.181,312035,0
PEY.US,D,20050303,000000,10.198,10.227,10.127,10.219,648412,0
PEY.US,D,20050304,000000,10.25,10.345,10.25,10.33,329531,0
PEY.US,D,20050307,000000,10.33,10.378,10.316,10.345,275726,0
PEY.US,D,20050308,000000,10.324,10.33,10.243,10.288,302117,0
PEY.US,D,20050309,000000,10.266,10.266,10.167,10.175,277477,0
PEY.US,D,20050310,000000,10.188,10.236,10.157,10.188,265811,0
PEY.US,D,20050311,000000,10.198,10.227,10.127,10.163,217254,0
PEY.US,D,20050314,000000,10.188,10.266,10.188,10.266,251813,0
PEY.US,D,20050315,000000,10.316,10.337,10.198,10.211,221484,0
PEY.US,D,20050316,000000,10.188,10.198,10.113,10.136,388429,0
PEY.US,D,20050317,000000,10.143,10.175,10.097,10.167,229938,0
PEY.US,D,20050318,000000,10.069,10.069,9.973,10.034,300079,0
PEY.US,D,20050321,000000,10.021,10.027,9.946,10.006,425472,0
PEY.US,D,20050322,000000,10.013,10.041,9.875,9.891,388581,0
PEY.US,D,20050323,000000,9.855,9.91,9.832,9.875,320933,0
PEY.US,D,20050324,000000,9.891,9.935,9.86,9.867,301973,0
PEY.US,D,20050328,000000,9.885,9.93,9.88,9.897,281563,0
PEY.US,D,20050329,000000,9.867,9.935,9.802,9.824,292484,0
PEY.US,D,20050330,000000,9.88,9.958,9.86,9.958,231251,0
PEY.US,D,20050331,000000,9.95,9.99,9.942,9.95,194508,0
PEY.US,D,20050401,000000,10.054,10.083,9.897,9.946,205289,0
PEY.US,D,20050404,000000,9.91,9.95,9.855,9.95,265811,0
PEY.US,D,20050405,000000,9.981,9.999,9.95,9.981,204854,0
PEY.US,D,20050406,000000,10.013,10.061,9.981,10.006,195678,0
PEY.US,D,20050407,000000,9.999,10.061,9.981,10.041,185470,0
PEY.US,D,20050408,000000,10.061,10.061,9.942,9.942,178619,0
PEY.US,D,20050411,000000,9.965,9.981,9.93,9.935,139391,0
PEY.US,D,20050412,000000,9.923,10.083,9.875,10.069,158496,0
PEY.US,D,20050413,000000,10.041,10.041,9.923,9.942,170298,0
PEY.US,D,20050414,000000,9.946,9.946,9.855,9.86,161118,0
PEY.US,D,20050415,000000,9.817,9.897,9.736,9.756,326614,0
PEY.US,D,20050418,000000,9.765,9.86,9.709,9.824,379550,0
PEY.US,D,20050419,000000,9.86,9.88,9.809,9.88,416289,0
PEY.US,D,20050420,000000,9.832,9.86,9.709,9.732,180955,0
PEY.US,D,20050421,000000,9.802,9.88,9.736,9.848,243350,0
PEY.US,D,20050422,000000,9.855,9.885,9.75,9.841,253128,0
PEY.US,D,20050425,000000,9.86,9.93,9.855,9.93,241604,0
PEY.US,D,20050426,000000,9.897,9.942,9.817,9.817,282872,0
PEY.US,D,20050427,000000,9.809,9.93,9.736,9.88,217400,0
