<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEZ.US,D,20061012,000000,23.927,24.109,23.879,24.089,11396,0
PEZ.US,D,20061013,000000,24.212,24.212,24.173,24.173,633,0
PEZ.US,D,20061016,000000,24.266,24.266,24.25,24.25,2005,0
PEZ.US,D,20061017,000000,24.212,24.212,23.994,24.117,1369,0
PEZ.US,D,20061018,000000,24.399,24.399,24.24,24.25,843,0
PEZ.US,D,20061019,000000,24.24,24.24,24.24,24.24,209,0
PEZ.US,D,20061020,000000,24.24,24.24,24.24,24.24,102,0
PEZ.US,D,20061023,000000,24.125,24.389,24.052,24.343,160092,0
PEZ.US,D,20061024,000000,24.409,24.503,24.409,24.503,11080,0
PEZ.US,D,20061025,000000,24.638,24.638,24.36,24.36,63424,0
PEZ.US,D,20061026,000000,24.78,24.78,24.78,24.78,209,0
PEZ.US,D,20061027,000000,24.581,24.703,24.532,24.532,32712,0
PEZ.US,D,20061030,000000,24.38,24.722,24.352,24.722,2747,0
PEZ.US,D,20061031,000000,24.828,24.828,24.532,24.532,4646,0
PEZ.US,D,20061101,000000,24.674,24.674,24.212,24.212,6226,0
PEZ.US,D,20061102,000000,24.024,24.071,23.975,24.071,2852,0
PEZ.US,D,20061103,000000,24.004,24.004,24.004,24.004,419,0
PEZ.US,D,20061106,000000,24.305,24.305,24.305,24.305,209,0
PEZ.US,D,20061107,000000,24.512,24.542,24.455,24.455,4646,0
PEZ.US,D,20061108,000000,24.522,24.522,24.522,24.522,102,0
PEZ.US,D,20061110,000000,24.542,24.542,24.542,24.542,102,0
PEZ.US,D,20061113,000000,24.648,24.648,24.648,24.648,209,0
PEZ.US,D,20061114,000000,24.638,25.007,24.6,25.007,30712,0
PEZ.US,D,20061115,000000,25.28,25.28,25.208,25.226,26804,0
PEZ.US,D,20061116,000000,25.151,25.151,25.151,25.151,10552,0
PEZ.US,D,20061117,000000,24.997,25.044,24.997,25.044,633,0
PEZ.US,D,20061120,000000,25.208,25.208,25.083,25.122,11188,0
PEZ.US,D,20061122,000000,25.53,25.53,25.53,25.53,209,0
PEZ.US,D,20061124,000000,25.442,25.471,25.442,25.471,312,0
PEZ.US,D,20061127,000000,25.29,25.29,24.997,24.997,32081,0
PEZ.US,D,20061128,000000,24.799,24.933,24.799,24.933,10975,0
PEZ.US,D,20061129,000000,25.245,25.245,25.245,25.245,102,0
PEZ.US,D,20061130,000000,25.083,25.254,25.083,25.226,1266,0
PEZ.US,D,20061201,000000,25.025,25.054,24.913,24.943,17308,0
PEZ.US,D,20061204,000000,25.355,25.633,25.355,25.605,26699,0
PEZ.US,D,20061205,000000,25.691,25.691,25.652,25.652,952,0
PEZ.US,D,20061206,000000,25.652,25.652,25.652,25.652,102,0
PEZ.US,D,20061207,000000,25.585,25.585,25.461,25.49,32818,0
PEZ.US,D,20061208,000000,25.326,25.403,25.326,25.403,1266,0
PEZ.US,D,20061212,000000,25.384,25.384,25.345,25.345,633,0
PEZ.US,D,20061213,000000,25.451,25.49,25.451,25.481,33878,0
PEZ.US,D,20061214,000000,25.774,25.774,25.765,25.765,737,0
PEZ.US,D,20061215,000000,25.652,25.652,25.567,25.567,312,0
PEZ.US,D,20061218,000000,25.28,25.28,25.254,25.254,1266,0
PEZ.US,D,20061219,000000,25.093,25.271,25.034,25.271,8232,0
PEZ.US,D,20061220,000000,25.403,25.432,25.403,25.432,312,0
PEZ.US,D,20061221,000000,25.208,25.403,25.208,25.226,21741,0
PEZ.US,D,20061222,000000,25.29,25.299,25.28,25.299,1056,0
PEZ.US,D,20061226,000000,25.18,25.263,25.18,25.217,2005,0
PEZ.US,D,20061227,000000,25.442,25.558,25.442,25.558,1584,0
