<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFF.US,D,20070330,000000,28.992,29.008,28.984,28.984,3461,0
PFF.US,D,20070402,000000,29.02,29.076,29.02,29.049,20238,0
PFF.US,D,20070403,000000,29.049,29.124,29.049,29.124,8299,0
PFF.US,D,20070404,000000,29.113,29.124,29.037,29.037,12446,0
PFF.US,D,20070405,000000,29.076,29.101,29.063,29.084,12108,0
PFF.US,D,20070409,000000,29.113,29.124,29.042,29.106,12446,0
PFF.US,D,20070410,000000,29.124,29.148,29.084,29.13,14529,0
PFF.US,D,20070411,000000,29.144,29.144,29.042,29.076,14016,0
PFF.US,D,20070412,000000,29.089,29.089,29.042,29.057,7267,0
PFF.US,D,20070413,000000,29.042,29.07,28.912,29.049,11934,0
PFF.US,D,20070416,000000,29.084,29.101,28.971,29.037,31824,0
PFF.US,D,20070417,000000,29.063,29.084,29.02,29.07,35111,0
PFF.US,D,20070418,000000,29.063,29.076,29.042,29.063,15916,0
PFF.US,D,20070419,000000,29.076,29.076,28.984,28.998,24050,0
PFF.US,D,20070420,000000,29.049,29.07,29.02,29.07,8299,0
PFF.US,D,20070423,000000,29.063,29.106,28.912,29.042,21448,0
PFF.US,D,20070424,000000,29.089,29.096,29.042,29.063,34765,0
PFF.US,D,20070425,000000,29.049,29.113,28.992,29.042,50672,0
PFF.US,D,20070426,000000,29.037,29.057,29.02,29.049,23178,0
PFF.US,D,20070427,000000,29.119,29.119,29.057,29.089,13324,0
PFF.US,D,20070430,000000,29.106,29.124,29.096,29.096,12799,0
PFF.US,D,20070501,000000,28.945,28.945,28.883,28.916,23178,0
PFF.US,D,20070502,000000,28.934,28.984,28.934,28.984,20407,0
PFF.US,D,20070503,000000,29.025,29.025,28.984,29.008,33906,0
PFF.US,D,20070504,000000,29.02,29.02,28.998,29.004,56909,0
PFF.US,D,20070507,000000,29.032,29.042,29.004,29.02,95818,0
PFF.US,D,20070508,000000,29.063,29.07,29.008,29.063,42204,0
PFF.US,D,20070509,000000,29.113,29.113,29.042,29.042,36490,0
PFF.US,D,20070510,000000,29.084,29.084,29.008,29.008,17653,0
PFF.US,D,20070511,000000,29.084,29.13,29.084,29.124,9514,0
PFF.US,D,20070514,000000,29.224,29.224,29.182,29.182,24563,0
PFF.US,D,20070515,000000,29.2,29.238,29.166,29.171,16260,0
PFF.US,D,20070516,000000,29.166,29.171,29.049,29.101,22656,0
PFF.US,D,20070517,000000,29.049,29.063,29.013,29.042,18512,0
PFF.US,D,20070518,000000,29.025,29.037,28.984,29.013,35111,0
PFF.US,D,20070521,000000,28.973,29.037,28.973,29.037,16948,0
PFF.US,D,20070522,000000,29.025,29.2,29.02,29.084,35459,0
PFF.US,D,20070523,000000,29.084,29.13,29.07,29.084,9514,0
PFF.US,D,20070524,000000,29.042,29.057,28.971,29.032,26115,0
PFF.US,D,20070525,000000,28.965,29.013,28.934,28.979,21448,0
PFF.US,D,20070529,000000,29.004,29.037,28.984,28.984,7782,0
PFF.US,D,20070530,000000,29.013,29.084,29.013,29.063,13142,0
PFF.US,D,20070531,000000,29.076,29.119,29.037,29.106,26291,0
PFF.US,D,20070601,000000,29.089,29.089,28.845,28.845,26632,0
PFF.US,D,20070604,000000,28.96,28.96,28.796,28.813,33208,0
