<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFI.US,D,20061012,000000,21.634,21.738,21.617,21.729,25021,0
PFI.US,D,20061013,000000,21.858,21.858,21.858,21.858,465,0
PFI.US,D,20061016,000000,21.858,21.858,21.817,21.817,924,0
PFI.US,D,20061017,000000,21.667,21.764,21.649,21.764,2082,0
PFI.US,D,20061018,000000,21.926,21.926,21.798,21.826,1504,0
PFI.US,D,20061019,000000,21.659,21.659,21.659,21.659,580,0
PFI.US,D,20061020,000000,21.756,21.756,21.729,21.729,1269,0
PFI.US,D,20061023,000000,21.642,21.642,21.642,21.642,232,0
PFI.US,D,20061024,000000,21.626,21.659,21.626,21.659,3476,0
PFI.US,D,20061025,000000,21.704,21.704,21.582,21.582,1159,0
PFI.US,D,20061026,000000,21.712,21.849,21.712,21.849,71353,0
PFI.US,D,20061027,000000,21.729,21.729,21.729,21.729,1739,0
PFI.US,D,20061030,000000,21.6,21.6,21.6,21.6,109,0
PFI.US,D,20061031,000000,21.774,21.774,21.566,21.566,2780,0
PFI.US,D,20061101,000000,21.507,21.507,21.35,21.35,7993,0
PFI.US,D,20061102,000000,21.262,21.262,21.212,21.23,809,0
PFI.US,D,20061103,000000,21.35,21.35,21.289,21.314,2321,0
PFI.US,D,20061106,000000,21.472,21.574,21.472,21.574,2780,0
PFI.US,D,20061107,000000,21.626,21.729,21.626,21.659,1620,0
PFI.US,D,20061108,000000,21.634,21.783,21.541,21.783,1620,0
PFI.US,D,20061109,000000,21.694,21.694,21.694,21.694,232,0
PFI.US,D,20061110,000000,21.574,21.608,21.558,21.558,1395,0
PFI.US,D,20061113,000000,21.738,21.756,21.694,21.694,83399,0
PFI.US,D,20061114,000000,21.626,21.798,21.626,21.798,16912,0
PFI.US,D,20061115,000000,21.946,21.964,21.946,21.964,1159,0
PFI.US,D,20061116,000000,21.992,22.025,21.992,22.016,580,0
PFI.US,D,20061117,000000,22.074,22.074,22.016,22.033,2202,0
PFI.US,D,20061120,000000,22.066,22.066,22.016,22.051,2202,0
PFI.US,D,20061121,000000,22.129,22.129,22.066,22.074,2662,0
PFI.US,D,20061122,000000,22.138,22.138,22.138,22.138,580,0
PFI.US,D,20061124,000000,22.057,22.057,22.057,22.057,580,0
PFI.US,D,20061127,000000,22.092,22.092,21.712,21.719,1039,0
PFI.US,D,20061128,000000,21.676,21.783,21.676,21.774,1039,0
PFI.US,D,20061129,000000,21.866,21.91,21.866,21.902,924,0
PFI.US,D,20061130,000000,21.817,21.817,21.817,21.817,232,0
PFI.US,D,20061201,000000,21.919,21.919,21.719,21.747,692,0
PFI.US,D,20061204,000000,21.936,22.033,21.936,22.001,72628,0
PFI.US,D,20061205,000000,22.082,22.16,22.082,22.12,72510,0
PFI.US,D,20061206,000000,22.197,22.197,22.169,22.169,1853,0
PFI.US,D,20061207,000000,22.129,22.129,22.092,22.092,1269,0
PFI.US,D,20061208,000000,22.066,22.12,22.057,22.092,1504,0
PFI.US,D,20061211,000000,22.153,22.153,22.146,22.146,465,0
PFI.US,D,20061212,000000,22.178,22.197,22.178,22.197,347,0
PFI.US,D,20061213,000000,22.253,22.253,22.169,22.222,4057,0
PFI.US,D,20061214,000000,22.334,22.362,22.334,22.362,1269,0
PFI.US,D,20061215,000000,22.279,22.343,22.279,22.343,1504,0
PFI.US,D,20061218,000000,22.386,22.386,22.237,22.237,5208,0
PFI.US,D,20061219,000000,22.222,22.253,22.16,22.178,6832,0
PFI.US,D,20061220,000000,22.353,22.353,22.288,22.334,3359,0
PFI.US,D,20061222,000000,22.334,22.334,22.297,22.297,580,0
PFI.US,D,20061227,000000,22.628,22.628,22.594,22.611,7761,0
PFI.US,D,20061228,000000,22.594,22.628,22.594,22.604,809,0
PFI.US,D,20061229,000000,22.541,22.541,22.403,22.403,1853,0
PFI.US,D,20070103,000000,22.691,22.691,22.523,22.523,1395,0
PFI.US,D,20070104,000000,22.403,22.506,22.403,22.506,1853,0
PFI.US,D,20070105,000000,22.325,22.325,22.215,22.215,465,0
PFI.US,D,20070109,000000,22.279,22.279,22.169,22.197,2321,0
PFI.US,D,20070110,000000,22.187,22.187,22.187,22.187,109,0
PFI.US,D,20070111,000000,22.288,22.419,22.288,22.419,1853,0
PFI.US,D,20070112,000000,22.378,22.445,22.334,22.445,1739,0
PFI.US,D,20070116,000000,22.497,22.497,22.419,22.419,1039,0
PFI.US,D,20070117,000000,22.437,22.437,22.325,22.325,3242,0
PFI.US,D,20070118,000000,22.343,22.353,22.261,22.261,465,0
PFI.US,D,20070119,000000,22.253,22.334,22.253,22.334,347,0
PFI.US,D,20070122,000000,22.187,22.187,22.187,22.187,465,0
PFI.US,D,20070123,000000,22.315,22.315,22.315,22.315,109,0
PFI.US,D,20070124,000000,22.413,22.506,22.413,22.506,7528,0
PFI.US,D,20070125,000000,22.568,22.568,22.169,22.169,2898,0
PFI.US,D,20070126,000000,22.11,22.247,22.1,22.247,2552,0
PFI.US,D,20070129,000000,22.247,22.334,22.247,22.288,1504,0
PFI.US,D,20070130,000000,22.353,22.445,22.353,22.445,347,0
PFI.US,D,20070131,000000,22.445,22.479,22.395,22.479,1739,0
PFI.US,D,20070201,000000,22.568,22.7,22.568,22.7,1269,0
PFI.US,D,20070202,000000,22.781,22.815,22.733,22.815,2662,0
PFI.US,D,20070205,000000,22.824,22.824,22.733,22.741,924,0
PFI.US,D,20070206,000000,22.903,22.903,22.834,22.877,692,0
PFI.US,D,20070207,000000,23.043,23.043,23.043,23.043,232,0
PFI.US,D,20070208,000000,23.025,23.025,22.939,22.973,21429,0
PFI.US,D,20070209,000000,23.008,23.008,22.664,22.664,924,0
PFI.US,D,20070212,000000,22.637,22.709,22.637,22.709,809,0
PFI.US,D,20070213,000000,22.725,22.815,22.725,22.805,2321,0
PFI.US,D,20070214,000000,22.973,22.973,22.973,22.973,347,0
PFI.US,D,20070215,000000,22.973,22.991,22.964,22.964,1395,0
PFI.US,D,20070216,000000,22.964,22.964,22.903,22.921,2431,0
PFI.US,D,20070220,000000,22.956,23.085,22.956,23.085,809,0
PFI.US,D,20070221,000000,22.991,22.991,22.991,22.991,109,0
PFI.US,D,20070222,000000,22.973,22.973,22.903,22.973,4171,0
PFI.US,D,20070223,000000,22.868,22.868,22.852,22.852,692,0
PFI.US,D,20070226,000000,22.877,22.877,22.877,22.877,2321,0
PFI.US,D,20070227,000000,22.532,22.532,22.306,22.306,3822,0
PFI.US,D,20070228,000000,21.919,22.11,21.902,22.11,1269,0
PFI.US,D,20070301,000000,21.798,22.051,21.634,22.016,9964,0
PFI.US,D,20070302,000000,21.919,21.973,21.919,21.973,580,0
PFI.US,D,20070305,000000,21.756,21.79,21.626,21.626,3125,0
PFI.US,D,20070306,000000,21.626,21.817,21.574,21.817,21429,0
PFI.US,D,20070307,000000,21.774,21.834,21.694,21.774,39035,0
PFI.US,D,20070308,000000,21.783,21.955,21.783,21.849,48997,0
PFI.US,D,20070309,000000,21.946,21.964,21.843,21.885,44365,0
PFI.US,D,20070312,000000,21.919,21.919,21.817,21.919,4171,0
PFI.US,D,20070313,000000,21.798,21.798,21.401,21.401,1620,0
PFI.US,D,20070314,000000,21.357,21.453,21.144,21.453,9612,0
PFI.US,D,20070315,000000,21.626,21.634,21.558,21.634,1159,0
PFI.US,D,20070316,000000,21.558,21.558,21.533,21.533,2321,0
PFI.US,D,20070319,000000,21.774,21.774,21.774,21.774,1504,0
PFI.US,D,20070320,000000,21.798,21.885,21.798,21.885,2662,0
PFI.US,D,20070321,000000,21.973,22.288,21.973,22.288,14479,0
PFI.US,D,20070322,000000,22.279,22.279,22.279,22.279,232,0
PFI.US,D,20070323,000000,22.325,22.362,22.325,22.362,4629,0
PFI.US,D,20070326,000000,22.315,22.325,22.228,22.325,4864,0
PFI.US,D,20070327,000000,22.178,22.205,22.178,22.187,3936,0
PFI.US,D,20070328,000000,21.964,22.092,21.964,21.964,3822,0
PFI.US,D,20070329,000000,22.041,22.041,22.041,22.041,347,0
PFI.US,D,20070330,000000,22.12,22.12,22.066,22.066,924,0
PFI.US,D,20070402,000000,22.11,22.11,22.051,22.11,3125,0
PFI.US,D,20070403,000000,22.247,22.378,22.247,22.353,2662,0
PFI.US,D,20070404,000000,22.306,22.306,22.297,22.297,465,0
PFI.US,D,20070405,000000,22.27,22.371,22.27,22.371,580,0
PFI.US,D,20070409,000000,22.297,22.353,22.27,22.27,1969,0
PFI.US,D,20070410,000000,22.362,22.378,22.353,22.353,1969,0
PFI.US,D,20070411,000000,22.288,22.288,22.261,22.261,692,0
PFI.US,D,20070412,000000,22.253,22.325,22.247,22.325,1159,0
PFI.US,D,20070413,000000,22.445,22.445,22.419,22.437,1039,0
PFI.US,D,20070416,000000,22.568,22.805,22.568,22.805,6605,0
PFI.US,D,20070417,000000,22.877,22.956,22.877,22.948,8799,0
PFI.US,D,20070418,000000,22.939,23.008,22.939,23.008,3242,0
PFI.US,D,20070419,000000,22.852,22.912,22.852,22.86,1039,0
PFI.US,D,20070420,000000,23.085,23.085,23.017,23.061,2431,0
PFI.US,D,20070423,000000,23.108,23.108,22.991,22.991,2082,0
PFI.US,D,20070424,000000,22.973,23.085,22.912,23.085,1395,0
PFI.US,D,20070425,000000,23.214,23.327,23.214,23.327,5907,0
PFI.US,D,20070426,000000,23.232,23.259,23.179,23.179,2202,0
PFI.US,D,20070427,000000,23.161,23.204,23.126,23.186,1969,0
PFI.US,D,20070430,000000,23.186,23.186,22.868,22.868,5907,0
PFI.US,D,20070501,000000,22.843,22.939,22.843,22.921,3242,0
PFI.US,D,20070502,000000,23.108,23.161,23.108,23.135,3476,0
PFI.US,D,20070503,000000,23.267,23.267,23.161,23.214,1269,0
PFI.US,D,20070504,000000,23.318,23.318,23.232,23.232,9728,0
PFI.US,D,20070507,000000,23.533,23.533,23.475,23.49,10427,0
PFI.US,D,20070508,000000,23.43,23.49,23.43,23.49,2431,0
PFI.US,D,20070509,000000,23.482,23.639,23.475,23.576,1739,0
PFI.US,D,20070510,000000,23.475,23.475,23.398,23.398,1039,0
PFI.US,D,20070511,000000,23.482,23.524,23.482,23.524,1969,0
PFI.US,D,20070514,000000,23.62,23.62,23.524,23.524,7647,0
PFI.US,D,20070515,000000,23.602,23.602,23.327,23.327,1039,0
PFI.US,D,20070516,000000,23.422,23.422,23.422,23.422,109,0
PFI.US,D,20070517,000000,23.475,23.475,23.475,23.475,580,0
PFI.US,D,20070518,000000,23.681,23.681,23.61,23.629,1395,0
PFI.US,D,20070521,000000,23.708,23.716,23.69,23.69,4283,0
PFI.US,D,20070522,000000,23.698,23.819,23.681,23.811,3359,0
PFI.US,D,20070523,000000,23.819,23.819,23.741,23.741,1159,0
PFI.US,D,20070524,000000,23.698,23.698,23.482,23.482,2431,0
PFI.US,D,20070525,000000,23.466,23.506,23.458,23.506,692,0
PFI.US,D,20070529,000000,23.602,23.602,23.559,23.602,1969,0
PFI.US,D,20070530,000000,23.639,23.681,23.639,23.681,580,0
PFI.US,D,20070531,000000,23.819,23.829,23.757,23.757,9379,0
PFI.US,D,20070601,000000,23.903,23.903,23.903,23.903,347,0
PFI.US,D,20070604,000000,23.872,23.921,23.855,23.921,7993,0
PFI.US,D,20070605,000000,23.698,23.716,23.673,23.716,692,0
PFI.US,D,20070606,000000,23.568,23.593,23.559,23.585,1739,0
PFI.US,D,20070607,000000,23.602,23.602,23.186,23.186,10192,0
PFI.US,D,20070608,000000,23.179,23.312,23.161,23.284,7066,0
PFI.US,D,20070611,000000,23.327,23.43,23.327,23.422,809,0
PFI.US,D,20070612,000000,23.318,23.38,23.241,23.241,1739,0
PFI.US,D,20070614,000000,23.458,23.516,23.458,23.516,2082,0
PFI.US,D,20070615,000000,23.681,23.681,23.62,23.62,924,0
PFI.US,D,20070619,000000,23.541,23.681,23.541,23.681,924,0
PFI.US,D,20070620,000000,23.649,23.649,23.576,23.576,2780,0
PFI.US,D,20070621,000000,23.302,23.398,23.302,23.398,232,0
PFI.US,D,20070622,000000,23.38,23.38,23.196,23.232,3009,0
PFI.US,D,20070625,000000,23.241,23.241,23.135,23.135,465,0
PFI.US,D,20070626,000000,23.241,23.241,23.116,23.116,1739,0
PFI.US,D,20070627,000000,22.964,23.224,22.964,23.214,4403,0
PFI.US,D,20070628,000000,23.241,23.475,23.241,23.458,2321,0
PFI.US,D,20070629,000000,23.327,23.327,23.204,23.25,6256,0
PFI.US,D,20070702,000000,23.415,23.506,23.415,23.499,580,0
PFI.US,D,20070703,000000,23.649,23.657,23.602,23.649,4171,0
PFI.US,D,20070705,000000,23.666,23.666,23.405,23.405,6605,0
PFI.US,D,20070706,000000,23.38,23.568,23.38,23.568,2082,0
PFI.US,D,20070709,000000,23.585,23.585,23.516,23.516,232,0
