<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFM.US,D,20050915,000000,11.859,11.859,11.815,11.828,45536,0
PFM.US,D,20050916,000000,11.912,11.953,11.877,11.953,22958,0
PFM.US,D,20050919,000000,11.92,11.92,11.852,11.852,12921,0
PFM.US,D,20050920,000000,11.895,11.92,11.776,11.8,15555,0
PFM.US,D,20050921,000000,11.761,11.761,11.664,11.664,22077,0
PFM.US,D,20050922,000000,11.643,11.734,11.643,11.734,211359,0
PFM.US,D,20050923,000000,11.734,11.761,11.709,11.734,9157,0
PFM.US,D,20050926,000000,11.815,11.815,11.709,11.709,8651,0
PFM.US,D,20050927,000000,11.742,11.776,11.692,11.776,10161,0
PFM.US,D,20050928,000000,11.8,11.8,11.692,11.734,14672,0
PFM.US,D,20050929,000000,11.669,11.828,11.664,11.828,23455,0
PFM.US,D,20050930,000000,11.843,11.843,11.793,11.815,13546,0
PFM.US,D,20051003,000000,11.852,11.852,11.77,11.8,45156,0
PFM.US,D,20051004,000000,11.821,11.821,11.709,11.709,16937,0
PFM.US,D,20051005,000000,11.664,11.678,11.609,11.609,16309,0
PFM.US,D,20051006,000000,11.618,11.636,11.49,11.49,15930,0
PFM.US,D,20051007,000000,11.618,11.618,11.55,11.565,23832,0
PFM.US,D,20051010,000000,11.591,11.591,11.527,11.527,25466,0
PFM.US,D,20051011,000000,11.48,11.559,11.48,11.527,36501,0
PFM.US,D,20051012,000000,11.48,11.543,11.432,11.49,38636,0
PFM.US,D,20051013,000000,11.506,11.513,11.432,11.497,31612,0
PFM.US,D,20051014,000000,11.543,11.565,11.49,11.543,21576,0
PFM.US,D,20051017,000000,11.599,11.599,11.55,11.55,5395,0
PFM.US,D,20051018,000000,11.559,11.574,11.506,11.506,17186,0
PFM.US,D,20051019,000000,11.458,11.649,11.458,11.649,15301,0
PFM.US,D,20051020,000000,11.643,11.649,11.49,11.506,16810,0
PFM.US,D,20051021,000000,11.527,11.527,11.466,11.49,3638,0
PFM.US,D,20051024,000000,11.55,11.609,11.537,11.609,15180,0
PFM.US,D,20051025,000000,11.618,11.643,11.543,11.565,8279,0
PFM.US,D,20051026,000000,11.543,11.636,11.543,11.618,10663,0
PFM.US,D,20051027,000000,11.599,11.599,11.49,11.49,32863,0
PFM.US,D,20051028,000000,11.55,11.649,11.537,11.649,11163,0
PFM.US,D,20051031,000000,11.742,11.751,11.709,11.718,17432,0
PFM.US,D,20051101,000000,11.678,11.687,11.678,11.687,6522,0
PFM.US,D,20051102,000000,11.687,11.77,11.687,11.77,19567,0
PFM.US,D,20051103,000000,11.821,11.828,11.751,11.751,20572,0
PFM.US,D,20051104,000000,11.828,11.828,11.751,11.808,16053,0
PFM.US,D,20051107,000000,11.859,11.859,11.808,11.836,22829,0
PFM.US,D,20051108,000000,11.836,11.836,11.776,11.808,24960,0
PFM.US,D,20051109,000000,11.828,11.886,11.784,11.828,31234,0
PFM.US,D,20051110,000000,11.852,11.99,11.815,11.99,28344,0
PFM.US,D,20051111,000000,12.004,12.004,11.967,11.99,16433,0
PFM.US,D,20051114,000000,12.029,12.029,11.958,11.967,9032,0
PFM.US,D,20051115,000000,11.983,11.996,11.912,11.944,15432,0
PFM.US,D,20051116,000000,11.983,11.983,11.877,11.905,15052,0
PFM.US,D,20051117,000000,11.958,11.99,11.912,11.983,58705,0
PFM.US,D,20051118,000000,12.095,12.095,12.004,12.004,15180,0
PFM.US,D,20051121,000000,12.053,12.15,12.053,12.15,5771,0
PFM.US,D,20051122,000000,12.137,12.173,12.095,12.173,9032,0
PFM.US,D,20051123,000000,12.166,12.263,12.15,12.228,16053,0
