<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGJ.US,D,20050225,000000,12.18,12.386,12.18,12.386,165675,0
PGJ.US,D,20050228,000000,12.448,12.464,12.314,12.377,142843,0
PGJ.US,D,20050301,000000,12.448,12.499,12.377,12.499,42629,0
PGJ.US,D,20050302,000000,12.42,12.438,12.271,12.332,105051,0
PGJ.US,D,20050303,000000,12.42,12.49,12.341,12.438,52748,0
PGJ.US,D,20050304,000000,12.42,12.438,12.341,12.404,88965,0
PGJ.US,D,20050307,000000,12.454,12.473,12.386,12.448,90880,0
PGJ.US,D,20050308,000000,12.499,12.571,12.499,12.499,116187,0
PGJ.US,D,20050309,000000,12.58,12.58,12.332,12.377,131034,0
PGJ.US,D,20050310,000000,12.464,12.464,12.226,12.261,68722,0
PGJ.US,D,20050311,000000,12.314,12.368,12.261,12.306,64785,0
PGJ.US,D,20050314,000000,12.359,12.359,12.171,12.226,68500,0
PGJ.US,D,20050315,000000,12.271,12.271,12.038,12.154,89081,0
PGJ.US,D,20050316,000000,12.154,12.154,12.038,12.046,101338,0
PGJ.US,D,20050317,000000,12.056,12.198,12.056,12.189,50725,0
PGJ.US,D,20050318,000000,12.189,12.189,12.03,12.11,42064,0
PGJ.US,D,20050321,000000,12.083,12.154,12.012,12.038,41839,0
PGJ.US,D,20050322,000000,12.012,12.056,11.881,11.881,71646,0
PGJ.US,D,20050323,000000,11.852,11.871,11.725,11.762,230350,0
PGJ.US,D,20050324,000000,11.852,11.862,11.762,11.799,22718,0
PGJ.US,D,20050328,000000,11.915,11.915,11.725,11.725,57365,0
PGJ.US,D,20050329,000000,11.663,11.734,11.532,11.549,64002,0
PGJ.US,D,20050330,000000,11.558,11.707,11.558,11.707,84694,0
PGJ.US,D,20050331,000000,11.725,11.762,11.698,11.752,167026,0
PGJ.US,D,20050401,000000,12.49,12.49,11.734,11.762,60172,0
PGJ.US,D,20050404,000000,11.852,11.852,11.688,11.762,28120,0
PGJ.US,D,20050405,000000,11.771,11.771,11.688,11.688,18780,0
PGJ.US,D,20050406,000000,11.852,11.871,11.771,11.771,90316,0
PGJ.US,D,20050407,000000,11.826,11.906,11.789,11.871,69397,0
PGJ.US,D,20050408,000000,11.89,11.95,11.89,11.89,49713,0
PGJ.US,D,20050411,000000,11.925,11.925,11.789,11.826,57251,0
PGJ.US,D,20050412,000000,11.752,11.818,11.68,11.762,41052,0
PGJ.US,D,20050413,000000,11.78,11.881,11.698,11.698,24070,0
PGJ.US,D,20050414,000000,11.744,11.744,11.577,11.613,37903,0
PGJ.US,D,20050415,000000,11.577,11.577,11.264,11.327,69506,0
PGJ.US,D,20050418,000000,11.283,11.301,11.141,11.274,66248,0
PGJ.US,D,20050419,000000,11.354,11.416,11.335,11.416,38689,0
PGJ.US,D,20050420,000000,11.504,11.504,11.231,11.274,19346,0
PGJ.US,D,20050421,000000,11.335,11.596,11.335,11.596,16529,0
PGJ.US,D,20050422,000000,11.596,11.605,11.477,11.477,22945,0
PGJ.US,D,20050425,000000,11.646,11.655,11.522,11.587,27668,0
PGJ.US,D,20050426,000000,11.63,11.646,11.558,11.558,19684,0
PGJ.US,D,20050427,000000,11.558,11.558,11.424,11.494,46678,0
PGJ.US,D,20050428,000000,11.532,11.577,11.424,11.46,28344,0
PGJ.US,D,20050429,000000,11.54,11.558,11.433,11.558,28682,0
PGJ.US,D,20050502,000000,11.605,11.623,11.532,11.568,12034,0
PGJ.US,D,20050503,000000,11.577,11.577,11.485,11.485,26207,0
PGJ.US,D,20050504,000000,11.549,11.698,11.504,11.698,16981,0
PGJ.US,D,20050505,000000,11.771,11.78,11.671,11.771,31717,0
PGJ.US,D,20050506,000000,11.78,11.78,11.587,11.707,24971,0
PGJ.US,D,20050509,000000,11.752,11.752,11.646,11.725,36440,0
PGJ.US,D,20050510,000000,11.734,11.734,11.558,11.613,26549,0
PGJ.US,D,20050511,000000,11.433,11.613,11.433,11.613,31044,0
PGJ.US,D,20050512,000000,11.596,11.596,11.38,11.399,33293,0
PGJ.US,D,20050513,000000,11.416,11.433,11.292,11.344,36215,0
PGJ.US,D,20050516,000000,11.372,11.408,11.274,11.38,16647,0
PGJ.US,D,20050517,000000,11.408,11.408,11.241,11.309,16422,0
PGJ.US,D,20050518,000000,11.248,11.416,11.231,11.416,76932,0
PGJ.US,D,20050519,000000,11.452,11.513,11.416,11.504,29355,0
PGJ.US,D,20050520,000000,11.54,11.54,11.344,11.442,17771,0
PGJ.US,D,20050523,000000,11.504,11.504,11.38,11.38,19007,0
PGJ.US,D,20050524,000000,11.399,11.504,11.372,11.469,32618,0
PGJ.US,D,20050525,000000,11.442,11.442,11.327,11.38,24070,0
PGJ.US,D,20050526,000000,11.416,11.424,11.344,11.424,27218,0
PGJ.US,D,20050527,000000,11.38,11.558,11.38,11.549,16871,0
PGJ.US,D,20050531,000000,11.63,11.671,11.577,11.663,37230,0
PGJ.US,D,20050601,000000,11.532,11.789,11.532,11.68,44991,0
PGJ.US,D,20050602,000000,11.707,11.707,11.63,11.698,13949,0
PGJ.US,D,20050603,000000,11.623,11.89,11.623,11.871,58937,0
