<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHO.US,D,20051206,000000,14.351,14.635,14.351,14.596,1226395,0
PHO.US,D,20051207,000000,14.483,14.483,14.359,14.369,624964,0
PHO.US,D,20051208,000000,14.351,14.435,14.248,14.342,637996,0
PHO.US,D,20051209,000000,14.455,14.769,14.359,14.55,2518397,0
PHO.US,D,20051212,000000,14.682,14.682,14.567,14.615,1015927,0
PHO.US,D,20051213,000000,14.74,14.797,14.615,14.787,1099329,0
PHO.US,D,20051214,000000,14.75,14.901,14.74,14.864,814879,0
PHO.US,D,20051215,000000,14.864,14.864,14.644,14.701,603027,0
PHO.US,D,20051216,000000,14.958,14.958,14.691,14.701,567098,0
PHO.US,D,20051219,000000,14.711,14.711,14.369,14.379,431654,0
PHO.US,D,20051220,000000,14.465,14.55,14.359,14.407,232729,0
PHO.US,D,20051221,000000,14.455,14.493,14.369,14.417,323875,0
PHO.US,D,20051222,000000,14.635,14.635,14.435,14.503,243434,0
PHO.US,D,20051223,000000,14.55,14.644,14.465,14.625,254563,0
PHO.US,D,20051227,000000,14.691,14.691,14.407,14.475,299503,0
PHO.US,D,20051228,000000,14.521,14.558,14.407,14.558,274593,0
PHO.US,D,20051229,000000,14.521,14.521,14.379,14.417,182496,0
PHO.US,D,20051230,000000,14.435,14.455,14.295,14.342,228175,0
PHO.US,D,20060103,000000,14.445,14.605,14.209,14.54,511777,0
PHO.US,D,20060104,000000,14.55,14.817,14.483,14.817,801312,0
PHO.US,D,20060105,000000,14.75,14.827,14.691,14.778,538694,0
PHO.US,D,20060106,000000,14.817,14.911,14.72,14.901,596983,0
PHO.US,D,20060109,000000,14.939,15.098,14.901,15.06,668203,0
PHO.US,D,20060110,000000,15.051,15.21,15.013,15.171,484965,0
PHO.US,D,20060111,000000,15.237,15.285,15.135,15.285,484010,0
PHO.US,D,20060112,000000,15.285,15.389,15.21,15.294,1093923,0
PHO.US,D,20060113,000000,15.321,15.389,15.237,15.389,660254,0
PHO.US,D,20060117,000000,15.474,15.522,15.153,15.247,631322,0
PHO.US,D,20060118,000000,15.247,15.304,15.19,15.276,491321,0
PHO.US,D,20060119,000000,15.321,15.571,15.285,15.561,953606,0
PHO.US,D,20060120,000000,15.571,15.654,15.19,15.257,502662,0
PHO.US,D,20060123,000000,15.304,15.399,15.285,15.294,432716,0
PHO.US,D,20060124,000000,15.379,15.532,15.341,15.532,620299,0
PHO.US,D,20060125,000000,15.571,15.634,15.484,15.551,669367,0
PHO.US,D,20060126,000000,15.664,15.737,15.596,15.727,914291,0
PHO.US,D,20060127,000000,15.737,15.993,15.737,15.993,1121475,0
PHO.US,D,20060130,000000,16.469,16.532,16.003,16.21,1456375,0
PHO.US,D,20060131,000000,16.039,16.181,15.844,16.076,1228198,0
PHO.US,D,20060201,000000,16.039,16.076,15.9,16.03,677424,0
PHO.US,D,20060202,000000,15.993,16.003,15.756,15.892,628140,0
PHO.US,D,20060203,000000,15.872,15.974,15.654,15.805,587445,0
PHO.US,D,20060206,000000,15.785,15.785,15.654,15.785,454018,0
PHO.US,D,20060207,000000,15.805,15.892,15.512,15.624,529476,0
PHO.US,D,20060208,000000,15.615,15.775,15.474,15.775,508489,0
PHO.US,D,20060209,000000,15.795,16.003,15.664,15.707,917259,0
PHO.US,D,20060210,000000,15.727,15.854,15.541,15.844,362981,0
PHO.US,D,20060213,000000,15.756,15.756,15.532,15.532,492489,0
PHO.US,D,20060214,000000,15.707,15.756,15.522,15.664,374323,0
PHO.US,D,20060215,000000,15.707,16.03,15.707,16.022,1387168,0
PHO.US,D,20060216,000000,16.23,16.23,16.085,16.201,1378796,0
PHO.US,D,20060217,000000,16.191,16.316,16.095,16.201,848578,0
PHO.US,D,20060221,000000,16.421,16.469,16.012,16.153,1078878,0
PHO.US,D,20060222,000000,16.181,16.345,16.134,16.248,678802,0
PHO.US,D,20060223,000000,16.326,16.421,16.23,16.355,851441,0
PHO.US,D,20060224,000000,16.421,16.684,16.277,16.684,928387,0
PHO.US,D,20060227,000000,17.286,17.286,16.664,16.892,1870545,0
PHO.US,D,20060228,000000,16.815,16.892,16.514,16.664,1194393,0
PHO.US,D,20060301,000000,16.701,16.872,16.569,16.863,1141828,0
PHO.US,D,20060302,000000,16.982,16.982,16.701,16.834,922662,0
PHO.US,D,20060303,000000,16.767,16.854,16.627,16.767,1044325,0
PHO.US,D,20060306,000000,16.749,16.776,16.523,16.532,671700,0
PHO.US,D,20060307,000000,16.514,16.569,16.296,16.381,633021,0
PHO.US,D,20060308,000000,16.372,16.372,16.134,16.345,635137,0
PHO.US,D,20060309,000000,16.363,16.391,16.115,16.201,445115,0
PHO.US,D,20060310,000000,16.201,16.391,16.095,16.355,448927,0
PHO.US,D,20060313,000000,16.45,16.542,16.326,16.391,548870,0
PHO.US,D,20060314,000000,16.421,16.664,16.421,16.656,1002252,0
PHO.US,D,20060315,000000,16.674,16.795,16.561,16.795,569110,0
PHO.US,D,20060316,000000,17.001,17.029,16.73,16.854,1250034,0
PHO.US,D,20060317,000000,16.892,16.892,16.701,16.795,523752,0
PHO.US,D,20060320,000000,16.892,16.919,16.656,16.656,567733,0
PHO.US,D,20060321,000000,16.759,16.854,16.607,16.692,953606,0
PHO.US,D,20060322,000000,16.656,16.854,16.569,16.854,651247,0
PHO.US,D,20060323,000000,16.872,16.919,16.749,16.919,819753,0
PHO.US,D,20060324,000000,16.919,17.163,16.815,17.163,997379,0
PHO.US,D,20060327,000000,17.248,17.266,17.058,17.144,1412502,0
PHO.US,D,20060328,000000,17.212,17.212,16.982,17.066,688760,0
PHO.US,D,20060329,000000,17.125,17.172,16.909,16.937,691729,0
PHO.US,D,20060330,000000,16.815,17.105,16.805,16.937,1377525,0
PHO.US,D,20060331,000000,16.982,17.066,16.9,17.058,532335,0
PHO.US,D,20060403,000000,17.172,17.172,16.954,17.001,600799,0
PHO.US,D,20060404,000000,17.029,17.076,16.909,16.982,738679,0
PHO.US,D,20060405,000000,17.066,17.154,16.982,17.115,729990,0
PHO.US,D,20060406,000000,17.163,17.182,17.058,17.154,689930,0
PHO.US,D,20060407,000000,17.192,17.192,16.844,16.919,720979,0
PHO.US,D,20060410,000000,16.937,16.946,16.701,16.776,582040,0
PHO.US,D,20060411,000000,16.834,16.834,16.487,16.506,655167,0
PHO.US,D,20060412,000000,16.589,16.692,16.532,16.637,535942,0
PHO.US,D,20060413,000000,16.664,16.767,16.607,16.684,350051,0
PHO.US,D,20060417,000000,16.701,16.805,16.569,16.684,710914,0
PHO.US,D,20060418,000000,16.854,17.163,16.805,17.134,689186,0
PHO.US,D,20060419,000000,17.212,17.41,17.172,17.381,1539992,0
PHO.US,D,20060420,000000,17.361,17.465,17.266,17.371,1283098,0
PHO.US,D,20060421,000000,17.531,17.652,17.457,17.597,1998461,0
PHO.US,D,20060424,000000,17.787,17.787,17.43,17.438,1011791,0
PHO.US,D,20060425,000000,17.615,17.624,17.344,17.475,862890,0
PHO.US,D,20060426,000000,17.457,17.559,17.361,17.447,1361631,0
PHO.US,D,20060427,000000,17.438,17.465,17.076,17.239,839467,0
PHO.US,D,20060428,000000,17.239,17.361,17.202,17.276,445115,0
PHO.US,D,20060501,000000,17.334,17.42,17.172,17.192,763266,0
PHO.US,D,20060502,000000,17.286,17.475,17.202,17.457,1181359,0
PHO.US,D,20060503,000000,17.9,17.9,17.324,17.465,521103,0
PHO.US,D,20060504,000000,17.55,17.615,17.494,17.607,546324,0
PHO.US,D,20060505,000000,17.815,17.815,17.652,17.757,560211,0
PHO.US,D,20060508,000000,17.815,17.815,17.633,17.767,847311,0
PHO.US,D,20060509,000000,17.881,17.919,17.642,17.854,1025033,0
PHO.US,D,20060510,000000,17.938,17.938,17.642,17.747,643191,0
PHO.US,D,20060511,000000,17.681,17.69,17.295,17.314,945551,0
PHO.US,D,20060512,000000,17.266,17.266,17.029,17.048,948627,0
PHO.US,D,20060515,000000,16.992,16.992,16.569,16.759,1195453,0
PHO.US,D,20060516,000000,16.552,16.844,16.552,16.72,755849,0
PHO.US,D,20060517,000000,16.767,16.767,16.306,16.345,1068488,0
PHO.US,D,20060518,000000,16.487,16.506,16.172,16.22,552582,0
PHO.US,D,20060519,000000,16.24,16.277,15.945,16.248,1015496,0
PHO.US,D,20060522,000000,16.134,16.172,15.692,15.965,1120418,0
PHO.US,D,20060523,000000,16.23,16.326,15.945,16.03,697031,0
PHO.US,D,20060524,000000,15.9,16.039,15.541,15.908,906444,0
PHO.US,D,20060525,000000,16.048,16.248,15.993,16.248,452004,0
PHO.US,D,20060526,000000,16.267,16.469,16.172,16.391,549612,0
PHO.US,D,20060530,000000,16.421,16.43,16.022,16.022,309568,0
PHO.US,D,20060531,000000,16.153,16.287,16.085,16.201,755638,0
PHO.US,D,20060601,000000,16.267,16.599,16.22,16.599,816997,0
PHO.US,D,20060602,000000,16.73,16.749,16.514,16.71,342105,0
PHO.US,D,20060605,000000,16.71,16.749,16.23,16.277,389370,0
PHO.US,D,20060606,000000,16.24,16.277,15.863,16.003,525024,0
PHO.US,D,20060607,000000,16.003,16.191,15.872,15.872,406222,0
PHO.US,D,20060608,000000,15.7,15.814,15.219,15.692,1112575,0
PHO.US,D,20060609,000000,15.756,15.936,15.615,15.634,382376,0
PHO.US,D,20060612,000000,15.58,15.672,15.135,15.135,991973,0
PHO.US,D,20060613,000000,15.116,15.267,14.778,14.807,1425744,0
PHO.US,D,20060614,000000,14.73,14.967,14.73,14.901,525764,0
PHO.US,D,20060615,000000,15.561,15.561,15.089,15.502,611501,0
PHO.US,D,20060616,000000,15.58,15.58,15.153,15.229,293776,0
PHO.US,D,20060619,000000,15.19,15.285,14.921,14.948,525131,0
PHO.US,D,20060620,000000,15.06,15.098,14.948,15.033,328217,0
PHO.US,D,20060621,000000,15.108,15.474,15.098,15.474,465463,0
PHO.US,D,20060622,000000,15.474,15.474,15.144,15.294,235062,0
PHO.US,D,20060623,000000,15.162,15.438,15.144,15.361,160773,0
PHO.US,D,20060626,000000,15.379,15.438,15.313,15.399,260394,0
PHO.US,D,20060627,000000,15.408,15.494,15.153,15.153,285615,0
PHO.US,D,20060628,000000,15.285,15.285,14.929,15.023,245767,0
PHO.US,D,20060629,000000,15.19,15.571,15.19,15.474,393927,0
PHO.US,D,20060630,000000,15.7,15.795,15.502,15.727,601646,0
PHO.US,D,20060703,000000,15.805,15.824,15.7,15.756,198923,0
PHO.US,D,20060705,000000,15.756,15.765,15.494,15.624,375486,0
PHO.US,D,20060706,000000,15.692,15.795,15.615,15.747,339661,0
PHO.US,D,20060707,000000,15.747,15.765,15.484,15.551,413639,0
PHO.US,D,20060710,000000,15.522,15.596,15.408,15.474,595285,0
PHO.US,D,20060711,000000,15.399,15.571,15.331,15.571,246508,0
PHO.US,D,20060712,000000,15.522,15.587,15.294,15.351,484751,0
PHO.US,D,20060713,000000,15.379,15.379,14.911,14.958,643298,0
PHO.US,D,20060714,000000,14.883,14.929,14.635,14.807,591049,0
PHO.US,D,20060717,000000,14.817,14.827,14.531,14.55,548231,0
PHO.US,D,20060718,000000,14.662,14.778,14.503,14.778,509022,0
PHO.US,D,20060719,000000,14.817,15.351,14.817,15.351,774076,0
PHO.US,D,20060720,000000,15.418,15.428,14.967,14.986,304584,0
PHO.US,D,20060721,000000,14.874,14.948,14.701,14.769,753093,0
PHO.US,D,20060724,000000,14.911,15.135,14.874,15.135,664176,0
