<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PID.US,D,20050915,000000,10.335,10.356,10.329,10.341,361358,0
PID.US,D,20050916,000000,10.431,10.46,10.398,10.46,135977,0
PID.US,D,20050919,000000,10.444,10.444,10.41,10.41,160573,0
PID.US,D,20050920,000000,10.436,10.467,10.384,10.39,262116,0
PID.US,D,20050921,000000,10.398,10.398,10.335,10.335,182270,0
PID.US,D,20050922,000000,10.341,10.384,10.272,10.322,525982,0
PID.US,D,20050923,000000,10.315,10.369,10.279,10.362,71314,0
PID.US,D,20050926,000000,10.425,10.475,10.39,10.46,288018,0
PID.US,D,20050927,000000,10.436,10.436,10.369,10.417,123828,0
PID.US,D,20050928,000000,10.475,10.475,10.425,10.451,90410,0
PID.US,D,20050929,000000,10.467,10.523,10.425,10.523,119634,0
PID.US,D,20050930,000000,10.536,10.548,10.475,10.536,185017,0
PID.US,D,20051003,000000,10.548,10.548,10.467,10.516,182128,0
PID.US,D,20051004,000000,10.536,10.536,10.444,10.444,173447,0
PID.US,D,20051005,000000,10.436,10.436,10.286,10.294,120358,0
PID.US,D,20051006,000000,10.3,10.3,10.162,10.238,458426,0
PID.US,D,20051007,000000,10.238,10.25,10.217,10.23,160428,0
PID.US,D,20051010,000000,10.244,10.25,10.204,10.204,108354,0
PID.US,D,20051011,000000,10.162,10.204,10.162,10.19,62202,0
PID.US,D,20051012,000000,10.204,10.204,10.08,10.115,114711,0
PID.US,D,20051013,000000,10.08,10.08,9.941,10.011,158837,0
PID.US,D,20051014,000000,10.03,10.084,9.988,10.084,77245,0
PID.US,D,20051017,000000,10.084,10.084,10.044,10.067,242016,0
PID.US,D,20051018,000000,10.022,10.022,9.949,9.949,103140,0
PID.US,D,20051019,000000,9.866,9.994,9.817,9.994,58735,0
PID.US,D,20051020,000000,9.981,9.981,9.817,9.817,96195,0
PID.US,D,20051021,000000,9.906,9.906,9.81,9.874,94462,0
PID.US,D,20051024,000000,9.927,9.988,9.913,9.97,127878,0
PID.US,D,20051025,000000,10.022,10.067,9.981,9.988,72474,0
PID.US,D,20051026,000000,10.022,10.044,9.956,9.97,71604,0
PID.US,D,20051027,000000,9.927,9.956,9.851,9.866,66256,0
PID.US,D,20051028,000000,9.919,9.919,9.828,9.906,77110,0
PID.US,D,20051031,000000,10.017,10.037,9.981,10.017,75080,0
PID.US,D,20051101,000000,10.05,10.074,9.977,10.058,52509,0
PID.US,D,20051102,000000,10.09,10.139,10.044,10.139,84192,0
PID.US,D,20051103,000000,10.19,10.19,10.107,10.122,79710,0
PID.US,D,20051104,000000,10.139,10.139,10.011,10.067,77971,0
PID.US,D,20051107,000000,10.084,10.084,10.037,10.08,54681,0
PID.US,D,20051108,000000,10.08,10.08,10.011,10.05,82166,0
