<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIE.US,D,20071228,000000,21.891,22.587,21.872,21.969,68136,0
PIE.US,D,20071231,000000,22.011,22.152,21.978,22.089,56208,0
PIE.US,D,20080102,000000,21.994,22.055,21.699,21.77,36250,0
PIE.US,D,20080103,000000,21.891,23.034,21.855,21.985,67907,0
PIE.US,D,20080104,000000,22.212,22.212,21.898,21.898,13188,0
PIE.US,D,20080107,000000,22.436,24.409,22.055,22.179,54603,0
PIE.US,D,20080108,000000,22.204,22.318,21.978,21.978,56551,0
PIE.US,D,20080109,000000,22.613,22.622,21.533,21.898,87180,0
PIE.US,D,20080110,000000,21.978,23.52,21.891,22.419,97959,0
PIE.US,D,20080111,000000,22.255,26.606,22.055,22.123,44624,0
PIE.US,D,20080114,000000,22.229,22.446,22.089,22.281,28104,0
PIE.US,D,20080115,000000,21.779,21.83,20.974,21.045,38083,0
PIE.US,D,20080116,000000,20.339,20.575,19.982,20.261,38196,0
PIE.US,D,20080117,000000,20.339,20.627,19.528,19.659,26269,0
PIE.US,D,20080118,000000,19.912,20.051,19.789,19.974,14799,0
PIE.US,D,20080122,000000,20.066,20.479,17.793,18.865,57353,0
PIE.US,D,20080123,000000,18.684,20.213,18.203,19.249,13307,0
PIE.US,D,20080124,000000,19.311,19.7,19.073,19.7,48064,0
PIE.US,D,20080125,000000,21.169,21.169,19.876,19.946,25349,0
PIE.US,D,20080128,000000,19.668,20.094,19.546,20.094,46573,0
PIE.US,D,20080129,000000,20.286,20.877,20.094,20.222,135704,0
PIE.US,D,20080130,000000,20.347,20.384,19.954,20.066,72037,0
PIE.US,D,20080131,000000,19.946,20.662,19.876,20.55,66188,0
PIE.US,D,20080201,000000,20.835,20.905,20.479,20.763,60110,0
PIE.US,D,20080204,000000,20.779,21.045,20.739,20.798,43592,0
PIE.US,D,20080205,000000,20.859,20.859,20.279,20.286,40721,0
PIE.US,D,20080206,000000,20.357,20.357,19.946,19.964,26155,0
PIE.US,D,20080207,000000,19.831,20.198,19.831,20.042,17092,0
PIE.US,D,20080208,000000,23.293,23.293,19.886,20.006,14799,0
PIE.US,D,20080211,000000,19.999,20.61,19.807,20.131,20879,0
PIE.US,D,20080212,000000,20.347,20.532,20.084,20.27,26842,0
PIE.US,D,20080213,000000,20.409,20.601,20.27,20.568,30515,0
PIE.US,D,20080214,000000,20.72,20.844,20.312,20.312,26155,0
PIE.US,D,20080215,000000,20.322,20.419,20.232,20.27,18813,0
PIE.US,D,20080219,000000,20.695,20.763,20.479,20.523,22710,0
PIE.US,D,20080220,000000,20.905,21.376,20.905,21.376,26842,0
PIE.US,D,20080221,000000,20.686,20.825,20.55,20.601,111039,0
PIE.US,D,20080222,000000,20.789,21.045,20.376,20.645,44277,0
PIE.US,D,20080225,000000,20.635,20.808,20.532,20.73,47605,0
PIE.US,D,20080226,000000,21.434,21.434,20.825,21.273,57240,0
PIE.US,D,20080227,000000,21.217,21.402,21.142,21.393,32576,0
PIE.US,D,20080228,000000,21.864,21.864,21.68,21.68,36476,0
PIE.US,D,20080229,000000,20.513,22.055,20.181,21.161,91995,0
PIE.US,D,20080303,000000,20.755,20.948,20.584,20.816,64351,0
PIE.US,D,20080304,000000,20.686,20.686,20.121,20.121,43359,0
PIE.US,D,20080305,000000,20.032,20.671,20.032,20.568,55173,0
PIE.US,D,20080306,000000,20.575,20.662,19.964,19.964,51735,0
PIE.US,D,20080307,000000,19.63,19.857,18.987,19.19,67679,0
PIE.US,D,20080310,000000,18.062,18.062,17.19,17.373,69741,0
PIE.US,D,20080311,000000,18.918,19.603,18.776,19.603,85115,0
PIE.US,D,20080312,000000,19.649,19.824,19.171,19.221,57699,0
