<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIO.US,D,20070613,000000,21.106,21.382,21.096,21.342,117949,0
PIO.US,D,20070614,000000,21.661,21.867,21.661,21.772,131841,0
PIO.US,D,20070615,000000,21.73,22.169,21.688,22.063,178948,0
PIO.US,D,20070618,000000,21.984,22.029,21.957,22.003,221199,0
PIO.US,D,20070619,000000,21.925,22.186,21.925,22.177,199436,0
PIO.US,D,20070620,000000,22.265,22.558,22.177,22.177,148160,0
PIO.US,D,20070621,000000,22.02,22.256,21.984,22.161,217260,0
PIO.US,D,20070622,000000,22.063,22.117,21.893,22.003,107647,0
PIO.US,D,20070625,000000,21.984,22.117,21.814,21.901,118757,0
PIO.US,D,20070626,000000,21.814,21.858,21.512,21.512,116327,0
PIO.US,D,20070627,000000,21.688,21.814,21.598,21.814,71301,0
PIO.US,D,20070628,000000,21.814,21.901,21.705,21.705,362643,0
PIO.US,D,20070629,000000,21.848,21.984,21.814,21.917,155335,0
PIO.US,D,20070702,000000,22.223,22.46,22.213,22.46,150706,0
PIO.US,D,20070703,000000,22.636,22.722,22.627,22.681,204763,0
PIO.US,D,20070705,000000,22.444,22.688,22.327,22.41,315301,0
PIO.US,D,20070706,000000,22.53,22.843,22.53,22.835,323748,0
PIO.US,D,20070709,000000,22.86,22.937,22.773,22.929,361024,0
PIO.US,D,20070710,000000,22.809,22.853,22.565,22.636,256963,0
PIO.US,D,20070711,000000,22.627,22.766,22.627,22.705,247702,0
PIO.US,D,20070712,000000,22.895,23.068,22.895,23.068,277912,0
PIO.US,D,20070713,000000,23.102,23.283,23.102,23.283,220617,0
PIO.US,D,20070716,000000,23.232,23.241,22.766,22.773,162859,0
PIO.US,D,20070717,000000,22.895,22.981,22.835,22.835,251178,0
PIO.US,D,20070718,000000,22.86,22.895,22.741,22.825,273515,0
PIO.US,D,20070719,000000,22.972,23.068,22.662,22.972,328840,0
PIO.US,D,20070720,000000,23.127,23.232,22.87,22.895,287635,0
PIO.US,D,20070723,000000,23.181,23.196,23.086,23.094,137974,0
PIO.US,D,20070724,000000,23.086,23.111,22.722,22.722,289722,0
