<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIZ.US,D,20071228,000000,21.03,21.334,21.03,21.255,60871,0
PIZ.US,D,20071231,000000,21.282,22.35,21.221,21.365,63606,0
PIZ.US,D,20080102,000000,21.273,21.273,21.081,21.12,28059,0
PIZ.US,D,20080103,000000,21.057,21.137,21.021,21.111,39947,0
PIZ.US,D,20080104,000000,21.081,21.081,20.867,20.867,38757,0
PIZ.US,D,20080107,000000,20.54,21.442,20.399,20.648,133749,0
PIZ.US,D,20080108,000000,20.769,20.867,20.414,20.414,87501,0
PIZ.US,D,20080109,000000,20.357,20.357,19.951,20.22,101412,0
PIZ.US,D,20080110,000000,20.399,20.726,20.348,20.675,33168,0
PIZ.US,D,20080111,000000,20.447,20.515,20.414,20.447,167515,0
PIZ.US,D,20080114,000000,20.548,20.608,20.423,20.515,32458,0
PIZ.US,D,20080115,000000,20.145,20.155,19.775,19.783,26748,0
PIZ.US,D,20080116,000000,19.582,19.642,19.103,19.212,20923,0
PIZ.US,D,20080117,000000,18.7,18.7,18.112,18.142,21756,0
PIZ.US,D,20080118,000000,19.244,19.32,18.884,18.952,39710,0
PIZ.US,D,20080122,000000,17.85,19.186,17.629,18.362,35189,0
PIZ.US,D,20080123,000000,17.637,18.244,17.303,18.168,56351,0
PIZ.US,D,20080124,000000,18.562,18.884,18.562,18.884,12721,0
PIZ.US,D,20080125,000000,19.446,19.446,18.909,18.999,29245,0
PIZ.US,D,20080128,000000,20.187,20.187,18.571,19.061,69785,0
PIZ.US,D,20080129,000000,19.337,19.591,19.296,19.524,138508,0
PIZ.US,D,20080130,000000,19.533,20.92,19.345,19.633,109259,0
PIZ.US,D,20080131,000000,18.892,19.617,18.892,19.617,151226,0
PIZ.US,D,20080201,000000,19.992,20.297,19.866,20.297,38874,0
PIZ.US,D,20080204,000000,19.992,20.859,19.992,20.111,18785,0
PIZ.US,D,20080205,000000,19.462,19.462,19.195,19.261,91546,0
PIZ.US,D,20080206,000000,19.152,19.345,19.009,19.009,48623,0
PIZ.US,D,20080207,000000,18.79,20.061,18.762,18.969,24255,0
PIZ.US,D,20080208,000000,18.909,19.07,18.825,18.936,51005,0
PIZ.US,D,20080211,000000,19.033,19.079,18.892,19.07,18306,0
PIZ.US,D,20080212,000000,19.498,19.498,19.079,19.237,85245,0
PIZ.US,D,20080213,000000,19.437,19.668,19.354,19.661,17000,0
PIZ.US,D,20080214,000000,19.684,19.726,19.608,19.633,23896,0
PIZ.US,D,20080215,000000,19.516,19.651,19.454,19.651,11649,0
PIZ.US,D,20080219,000000,20.306,20.306,19.884,19.927,75137,0
PIZ.US,D,20080220,000000,19.945,20.608,19.945,20.522,155264,0
PIZ.US,D,20080221,000000,20.357,20.405,20.204,20.22,45655,0
PIZ.US,D,20080222,000000,20.348,20.431,20.061,20.431,23422,0
PIZ.US,D,20080225,000000,20.373,20.474,20.145,20.474,84053,0
PIZ.US,D,20080226,000000,20.254,20.599,20.237,20.581,86434,0
PIZ.US,D,20080227,000000,20.506,20.817,20.32,20.817,157524,0
PIZ.US,D,20080228,000000,20.944,20.944,20.718,20.769,38757,0
PIZ.US,D,20080229,000000,20.572,20.572,20.339,20.414,56709,0
PIZ.US,D,20080303,000000,20.179,20.306,20.111,20.145,26514,0
PIZ.US,D,20080304,000000,19.951,19.951,19.49,19.7,86074,0
PIZ.US,D,20080305,000000,19.823,19.875,19.684,19.849,49578,0
PIZ.US,D,20080306,000000,20.195,20.195,19.893,19.893,13673,0
PIZ.US,D,20080307,000000,19.573,19.716,19.337,19.413,69308,0
PIZ.US,D,20080310,000000,19.136,19.136,18.58,18.58,50411,0
PIZ.US,D,20080311,000000,19.337,19.591,19.253,19.591,14029,0
PIZ.US,D,20080312,000000,19.661,19.767,19.6,19.642,14146,0
PIZ.US,D,20080313,000000,19.253,19.608,19.16,19.6,18424,0
PIZ.US,D,20080314,000000,19.986,20.02,19.313,19.472,39586,0
PIZ.US,D,20080317,000000,19.186,20.187,19.186,19.329,41849,0
PIZ.US,D,20080318,000000,19.472,19.7,19.446,19.7,30196,0
PIZ.US,D,20080319,000000,19.49,19.49,19.061,19.061,9271,0
PIZ.US,D,20080320,000000,18.521,18.762,18.244,18.754,95226,0
PIZ.US,D,20080324,000000,18.99,19.27,18.99,19.16,30794,0
PIZ.US,D,20080325,000000,19.16,19.692,19.136,19.692,104859,0
PIZ.US,D,20080326,000000,19.406,19.833,19.406,19.833,130301,0
PIZ.US,D,20080327,000000,19.951,20.011,19.798,19.866,45058,0
PIZ.US,D,20080328,000000,20.22,20.254,20.103,20.187,21163,0
PIZ.US,D,20080331,000000,20.366,20.366,20.204,20.339,20330,0
PIZ.US,D,20080401,000000,20.287,20.666,20.263,20.548,31391,0
PIZ.US,D,20080402,000000,20.522,20.859,20.506,20.633,44464,0
PIZ.US,D,20080403,000000,20.17,20.867,20.061,20.867,50411,0
PIZ.US,D,20080404,000000,21.349,21.476,20.474,20.522,70022,0
PIZ.US,D,20080407,000000,20.793,20.926,20.761,20.867,58611,0
PIZ.US,D,20080408,000000,20.272,20.599,20.272,20.599,108428,0
PIZ.US,D,20080409,000000,20.455,20.581,20.366,20.531,39352,0
PIZ.US,D,20080410,000000,20.339,20.581,20.312,20.474,41494,0
PIZ.US,D,20080411,000000,20.228,20.287,20.213,20.263,35546,0
PIZ.US,D,20080414,000000,20.281,20.348,20.272,20.348,6288,0
PIZ.US,D,20080415,000000,20.506,20.515,20.399,20.474,88512,0
PIZ.US,D,20080416,000000,20.817,21.186,20.784,21.186,100920,0
PIZ.US,D,20080417,000000,20.784,20.911,20.718,20.867,56130,0
PIZ.US,D,20080418,000000,21.003,21.03,20.92,20.969,119760,0
PIZ.US,D,20080421,000000,21.186,21.273,21.12,21.246,47662,0
PIZ.US,D,20080422,000000,21.128,21.334,21.021,21.238,45772,0
