<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKW.US,D,20061220,000000,22.114,22.155,22.063,22.097,104815,0
PKW.US,D,20061221,000000,22.097,22.114,21.952,21.989,44935,0
PKW.US,D,20061222,000000,21.942,21.942,21.9,21.916,21168,0
PKW.US,D,20061226,000000,21.9,22.007,21.9,22.007,52522,0
PKW.US,D,20061227,000000,22.114,22.148,22.097,22.148,43807,0
PKW.US,D,20061228,000000,22.138,22.173,22.089,22.114,39846,0
PKW.US,D,20061229,000000,22.08,22.128,22.044,22.053,75165,0
PKW.US,D,20070103,000000,22.104,22.199,21.942,21.96,88402,0
PKW.US,D,20070104,000000,21.96,22.138,21.926,22.114,75499,0
PKW.US,D,20070105,000000,22.089,22.089,21.907,21.989,49124,0
PKW.US,D,20070108,000000,21.999,22.114,21.969,22.08,56823,0
PKW.US,D,20070109,000000,22.155,22.209,22.036,22.209,32939,0
PKW.US,D,20070110,000000,22.097,22.265,22.044,22.246,46973,0
PKW.US,D,20070111,000000,22.265,22.439,22.265,22.386,51046,0
PKW.US,D,20070112,000000,22.404,22.502,22.368,22.483,31468,0
PKW.US,D,20070116,000000,22.509,22.509,22.412,22.465,75044,0
PKW.US,D,20070117,000000,22.431,22.483,22.395,22.404,198424,0
PKW.US,D,20070118,000000,22.439,22.439,22.265,22.291,44258,0
PKW.US,D,20070119,000000,22.274,22.325,22.173,22.325,77082,0
PKW.US,D,20070122,000000,22.307,22.307,22.128,22.238,40300,0
PKW.US,D,20070123,000000,22.283,22.412,22.255,22.335,34977,0
PKW.US,D,20070124,000000,22.316,22.519,22.316,22.519,40863,0
PKW.US,D,20070125,000000,22.554,22.554,22.255,22.291,63954,0
PKW.US,D,20070126,000000,22.291,22.291,22.164,22.255,43240,0
PKW.US,D,20070129,000000,22.325,22.361,22.274,22.307,36786,0
PKW.US,D,20070130,000000,22.351,22.395,22.283,22.395,37580,0
PKW.US,D,20070131,000000,22.386,22.742,22.298,22.493,62708,0
PKW.US,D,20070201,000000,22.617,22.617,22.465,22.572,36448,0
PKW.US,D,20070202,000000,22.661,22.837,22.607,22.661,88515,0
PKW.US,D,20070205,000000,22.671,22.837,22.528,22.59,143869,0
PKW.US,D,20070206,000000,22.706,22.749,22.536,22.607,29882,0
PKW.US,D,20070207,000000,22.792,22.792,22.643,22.716,66331,0
PKW.US,D,20070208,000000,22.749,22.88,22.661,22.765,35317,0
PKW.US,D,20070209,000000,22.88,22.88,22.483,22.572,65653,0
PKW.US,D,20070212,000000,22.59,22.661,22.421,22.455,37005,0
PKW.US,D,20070213,000000,22.661,22.828,22.465,22.617,63891,0
PKW.US,D,20070214,000000,22.784,22.811,22.653,22.792,37832,0
PKW.US,D,20070215,000000,22.724,22.899,22.706,22.819,53648,0
PKW.US,D,20070216,000000,22.88,23.031,22.706,22.765,30674,0
PKW.US,D,20070220,000000,22.724,23.013,22.661,22.846,99492,0
PKW.US,D,20070221,000000,22.775,22.907,22.749,22.88,47427,0
PKW.US,D,20070222,000000,23.104,23.104,22.811,22.89,69500,0
PKW.US,D,20070223,000000,22.863,22.863,22.749,22.784,25351,0
PKW.US,D,20070226,000000,22.837,22.837,22.653,22.689,50999,0
