<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW.US,D,20071011,000000,20.424,20.476,20.424,20.476,2953,0
PLW.US,D,20071012,000000,20.434,20.51,20.434,20.448,7642,0
PLW.US,D,20071015,000000,20.44,20.467,20.44,20.44,8756,0
PLW.US,D,20071016,000000,20.485,20.501,20.485,20.493,1477,0
PLW.US,D,20071017,000000,20.525,20.659,20.525,20.659,12079,0
PLW.US,D,20071018,000000,20.702,20.727,20.683,20.727,8875,0
PLW.US,D,20071019,000000,20.804,20.936,20.804,20.936,7394,0
PLW.US,D,20071022,000000,20.92,20.945,20.913,20.945,8615,0
PLW.US,D,20071023,000000,20.886,20.945,20.886,20.945,9486,0
PLW.US,D,20071024,000000,20.959,21.06,20.959,21.027,38468,0
PLW.US,D,20071025,000000,21.043,21.051,20.993,20.993,6665,0
PLW.US,D,20071026,000000,20.959,20.993,20.945,20.959,6409,0
PLW.US,D,20071029,000000,20.959,20.959,20.959,20.959,509,0
PLW.US,D,20071030,000000,20.985,20.985,20.936,20.936,509,0
PLW.US,D,20071031,000000,20.928,20.928,20.928,20.928,207,0
PLW.US,D,20071101,000000,21.06,21.06,21.06,21.06,613,0
PLW.US,D,20071102,000000,21.147,21.147,21.1,21.1,1477,0
PLW.US,D,20071105,000000,21.123,21.123,21.077,21.077,1477,0
PLW.US,D,20071106,000000,21.085,21.085,21.027,21.027,720,0
PLW.US,D,20071107,000000,21.027,21.043,21.003,21.035,15909,0
PLW.US,D,20071108,000000,21.027,21.14,21.027,21.077,14792,0
PLW.US,D,20071109,000000,21.123,21.209,21.108,21.209,7275,0
PLW.US,D,20071112,000000,21.282,21.291,21.242,21.291,3326,0
PLW.US,D,20071113,000000,21.114,21.131,21.114,21.131,2593,0
PLW.US,D,20071114,000000,21.114,21.114,21.091,21.091,117978,0
PLW.US,D,20071115,000000,21.1,21.209,21.1,21.209,9486,0
PLW.US,D,20071116,000000,21.242,21.341,21.242,21.282,16023,0
PLW.US,D,20071119,000000,21.315,21.475,21.315,21.45,17999,0
PLW.US,D,20071120,000000,21.4,21.846,21.4,21.425,14543,0
PLW.US,D,20071121,000000,21.53,21.53,21.49,21.506,6409,0
PLW.US,D,20071123,000000,21.498,21.53,21.49,21.53,10850,0
PLW.US,D,20071126,000000,21.616,21.884,21.577,21.884,43764,0
PLW.US,D,20071127,000000,21.585,21.689,21.553,21.649,54611,0
PLW.US,D,20071128,000000,21.609,21.632,21.506,21.506,31560,0
PLW.US,D,20071129,000000,21.657,21.82,21.657,21.706,12456,0
PLW.US,D,20071130,000000,21.569,21.592,21.561,21.585,4431,0
PLW.US,D,20071203,000000,21.755,21.796,21.74,21.796,4204,0
PLW.US,D,20071204,000000,21.829,21.829,21.698,21.804,7522,0
PLW.US,D,20071205,000000,21.698,21.732,21.616,21.616,56832,0
PLW.US,D,20071206,000000,21.545,21.553,21.498,21.498,10357,0
PLW.US,D,20071207,000000,21.408,21.408,21.282,21.324,34143,0
PLW.US,D,20071210,000000,21.291,21.291,21.185,21.275,16023,0
PLW.US,D,20071211,000000,21.324,21.475,21.291,21.475,25890,0
PLW.US,D,20071212,000000,21.275,21.45,21.267,21.425,17999,0
PLW.US,D,20071213,000000,21.258,21.332,21.209,21.217,41425,0
PLW.US,D,20071214,000000,21.027,21.035,20.959,21.012,127343,0
PLW.US,D,20071217,000000,20.174,21.171,20.174,21.171,20223,0
PLW.US,D,20071218,000000,21.282,21.282,21.242,21.258,2837,0
PLW.US,D,20071219,000000,21.298,21.425,21.217,21.425,23425,0
PLW.US,D,20071220,000000,21.417,21.506,21.417,21.425,22069,0
PLW.US,D,20071221,000000,21.242,21.242,21.209,21.209,7522,0
PLW.US,D,20071224,000000,21.14,21.147,21.091,21.131,11714,0
PLW.US,D,20071226,000000,21.732,21.732,20.993,20.993,7150,0
PLW.US,D,20071227,000000,21.091,21.123,21.043,21.123,54739,0
PLW.US,D,20071228,000000,21.234,21.341,21.234,21.315,7026,0
PLW.US,D,20071231,000000,21.433,21.498,21.425,21.498,5793,0
PLW.US,D,20080102,000000,21.498,21.713,21.498,21.706,69342,0
PLW.US,D,20080103,000000,21.632,21.64,21.569,21.624,16397,0
PLW.US,D,20080104,000000,21.762,21.796,21.698,21.698,5923,0
PLW.US,D,20080107,000000,21.732,21.796,21.698,21.788,26382,0
PLW.US,D,20080108,000000,21.788,21.788,21.64,21.779,13189,0
PLW.US,D,20080109,000000,21.81,21.884,21.788,21.788,20712,0
