<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNQI.US,D,20080613,000000,24.341,24.531,24.111,24.521,23838,0
PNQI.US,D,20080616,000000,26.949,26.949,24.771,24.921,3803,0
PNQI.US,D,20080617,000000,25.081,25.081,24.781,24.991,3234,0
PNQI.US,D,20080618,000000,24.751,24.751,24.451,24.661,3500,0
PNQI.US,D,20080619,000000,24.631,24.991,24.471,24.961,7892,0
PNQI.US,D,20080620,000000,24.801,24.801,24.121,24.191,17458,0
PNQI.US,D,20080623,000000,24.271,24.271,23.942,24.131,4745,0
PNQI.US,D,20080624,000000,23.752,23.792,23.332,23.522,5845,0
PNQI.US,D,20080625,000000,23.652,24.171,23.652,24.012,7786,0
PNQI.US,D,20080626,000000,23.632,23.632,23.212,23.212,6265,0
PNQI.US,D,20080627,000000,23.192,23.192,22.742,22.782,8844,0
PNQI.US,D,20080630,000000,22.912,23.002,22.662,22.662,2892,0
PNQI.US,D,20080701,000000,22.342,22.632,22.202,22.622,7376,0
PNQI.US,D,20080702,000000,22.862,22.862,22.292,22.292,2988,0
PNQI.US,D,20080703,000000,22.372,22.372,22.083,22.322,1601,0
PNQI.US,D,20080707,000000,22.452,22.542,21.913,22.312,14151,0
PNQI.US,D,20080708,000000,22.202,22.652,22.143,22.632,7274,0
PNQI.US,D,20080710,000000,22.512,22.672,22.123,22.302,8414,0
PNQI.US,D,20080711,000000,22.023,22.382,21.863,22.163,4067,0
PNQI.US,D,20080714,000000,21.653,21.663,21.593,21.663,760,0
PNQI.US,D,20080715,000000,20.974,21.713,20.764,21.533,6665,0
PNQI.US,D,20080716,000000,21.713,22.632,21.653,22.592,5564,0
PNQI.US,D,20080721,000000,21.923,21.923,21.743,21.743,1801,0
PNQI.US,D,20080724,000000,22.472,22.502,22.472,22.502,3103,0
PNQI.US,D,20080725,000000,22.422,22.472,22.412,22.432,3407,0
PNQI.US,D,20080728,000000,21.973,21.973,21.823,21.823,1801,0
PNQI.US,D,20080729,000000,22.342,22.362,22.342,22.362,1181,0
PNQI.US,D,20080730,000000,22.612,22.612,22.502,22.502,4403,0
PNQI.US,D,20080731,000000,22.362,22.362,22.053,22.093,2002,0
PNQI.US,D,20080801,000000,22.083,22.083,21.743,21.983,6605,0
PNQI.US,D,20080804,000000,21.883,21.913,21.723,21.723,1901,0
PNQI.US,D,20080805,000000,21.923,22.232,21.923,22.232,6005,0
PNQI.US,D,20080806,000000,21.913,22.252,21.893,22.252,9725,0
PNQI.US,D,20080807,000000,21.773,21.843,21.763,21.773,6205,0
PNQI.US,D,20080808,000000,21.683,22.202,21.663,22.202,2272,0
PNQI.US,D,20080811,000000,22.512,22.792,22.512,22.782,2402,0
PNQI.US,D,20080812,000000,24.441,24.441,22.592,22.662,1608,0
PNQI.US,D,20080813,000000,22.552,22.642,22.532,22.532,1901,0
PNQI.US,D,20080814,000000,22.502,22.902,22.502,22.902,1921,0
PNQI.US,D,20080815,000000,23.002,23.002,22.742,22.862,4453,0
PNQI.US,D,20080818,000000,22.622,22.622,22.622,22.622,200,0
PNQI.US,D,20080819,000000,22.182,22.192,22.133,22.133,2402,0
PNQI.US,D,20080820,000000,22.083,22.123,22.083,22.123,1801,0
PNQI.US,D,20080902,000000,22.322,22.322,21.753,21.753,1151,0
