<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POTX.US,D,20190923,000000,22.626,22.626,22.041,22.059,8778,0
POTX.US,D,20190924,000000,22.097,22.097,20.89,21.083,5458,0
POTX.US,D,20190925,000000,20.983,20.983,20.264,20.797,4297,0
POTX.US,D,20190926,000000,20.797,21.032,20.769,21.01,3675,0
POTX.US,D,20190927,000000,20.955,20.992,20.286,20.402,6599,0
POTX.US,D,20190930,000000,20.268,20.268,19.358,19.431,5548,0
POTX.US,D,20191001,000000,19.301,19.301,18.532,18.569,8154,0
POTX.US,D,20191002,000000,18.718,19.023,17.769,18.703,6263,0
POTX.US,D,20191003,000000,18.633,19.408,18.633,19.408,420,0
POTX.US,D,20191004,000000,19.645,20.008,19.334,19.334,2260,0
POTX.US,D,20191007,000000,19.349,19.349,18.81,18.81,6993,0
POTX.US,D,20191008,000000,18.8,18.8,18.352,18.569,4857,0
POTX.US,D,20191009,000000,18.615,18.621,18.309,18.309,4998,0
POTX.US,D,20191010,000000,18.022,18.022,16.712,16.712,32367,0
POTX.US,D,20191011,000000,16.851,17.194,16.569,16.569,3534,0
POTX.US,D,20191014,000000,16.396,16.523,16.386,16.498,9182,0
POTX.US,D,20191015,000000,16.777,17.649,16.563,17.395,23190,0
POTX.US,D,20191016,000000,17.232,17.612,16.924,17.038,10591,0
POTX.US,D,20191017,000000,18.003,18.003,17.316,17.768,8700,0
POTX.US,D,20191018,000000,18.215,18.215,17.176,17.288,11141,0
POTX.US,D,20191021,000000,17.333,17.463,16.798,17.445,9552,0
POTX.US,D,20191022,000000,17.178,17.321,17.073,17.083,6239,0
POTX.US,D,20191023,000000,17.176,17.649,17.038,17.612,13600,0
POTX.US,D,20191024,000000,18.077,18.077,17.555,17.835,13077,0
POTX.US,D,20191025,000000,17.752,18.031,17.631,17.952,9148,0
POTX.US,D,20191028,000000,18.197,18.207,17.704,17.704,8814,0
POTX.US,D,20191029,000000,17.612,17.612,16.99,16.99,10505,0
POTX.US,D,20191030,000000,16.953,17.129,16.731,16.819,9146,0
POTX.US,D,20191031,000000,16.795,16.795,16.404,16.665,13875,0
POTX.US,D,20191101,000000,16.665,16.879,16.665,16.842,6174,0
POTX.US,D,20191104,000000,17.259,17.259,16.665,16.665,18229,0
POTX.US,D,20191105,000000,16.573,16.992,16.573,16.792,8327,0
POTX.US,D,20191106,000000,16.712,16.712,16.488,16.545,17041,0
POTX.US,D,20191107,000000,16.721,16.721,16.178,16.228,13294,0
POTX.US,D,20191108,000000,16.335,17.102,16.277,16.963,38131,0
POTX.US,D,20191111,000000,17.038,17.038,16.421,16.526,13555,0
POTX.US,D,20191112,000000,16.573,16.573,15.867,15.913,30889,0
POTX.US,D,20191113,000000,15.783,15.899,15.144,15.192,29375,0
POTX.US,D,20191114,000000,15.206,15.206,14.072,14.492,64284,0
POTX.US,D,20191115,000000,14.168,14.223,13.769,13.883,15129,0
POTX.US,D,20191118,000000,14.019,14.019,13.003,13.003,43648,0
POTX.US,D,20191119,000000,12.998,13.741,12.998,13.624,18245,0
POTX.US,D,20191120,000000,13.732,14.646,13.732,14.456,53062,0
POTX.US,D,20191121,000000,14.818,16.507,14.818,15.9,55050,0
POTX.US,D,20191122,000000,15.876,16.238,14.762,14.856,40408,0
POTX.US,D,20191125,000000,14.855,15.199,14.371,14.398,32473,0
POTX.US,D,20191126,000000,14.39,14.39,13.796,13.973,13580,0
POTX.US,D,20191127,000000,14.213,14.279,14.077,14.213,13881,0
POTX.US,D,20191129,000000,14.632,14.632,14.186,14.261,6348,0
POTX.US,D,20191202,000000,14.298,14.299,13.933,13.963,23863,0
POTX.US,D,20191203,000000,13.814,14.196,13.765,14.159,10119,0
POTX.US,D,20191204,000000,14.242,14.242,13.973,14.011,5597,0
POTX.US,D,20191205,000000,14.049,14.049,13.805,13.85,4579,0
POTX.US,D,20191206,000000,13.833,13.833,13.741,13.769,5248,0
POTX.US,D,20191209,000000,13.861,14.381,13.861,14.326,16588,0
POTX.US,D,20191210,000000,14.418,14.418,14.07,14.093,6255,0
POTX.US,D,20191211,000000,14.112,14.172,13.928,13.935,4311,0
POTX.US,D,20191212,000000,14.229,14.465,13.961,14.416,5567,0
POTX.US,D,20191213,000000,14.326,14.865,14.326,14.535,10124,0
POTX.US,D,20191216,000000,14.623,14.776,14.475,14.504,9874,0
POTX.US,D,20191217,000000,14.595,14.595,14.041,14.106,22297,0
POTX.US,D,20191218,000000,14.159,14.159,13.611,13.708,20133,0
POTX.US,D,20191219,000000,13.554,14.001,13.472,13.905,24006,0
POTX.US,D,20191220,000000,13.945,13.954,13.741,13.899,18460,0
POTX.US,D,20191223,000000,13.814,13.814,13.573,13.648,21290,0
POTX.US,D,20191224,000000,13.676,13.808,13.554,13.808,8906,0
POTX.US,D,20191226,000000,14.066,14.066,13.481,13.541,43664,0
POTX.US,D,20191227,000000,13.537,13.672,13.286,13.444,9981,0
POTX.US,D,20191230,000000,13.566,13.566,13.086,13.086,39992,0
POTX.US,D,20191231,000000,13.142,14.205,13.142,14.141,25496,0
POTX.US,D,20200102,000000,14.594,14.594,13.82,14.065,28405,0
POTX.US,D,20200103,000000,13.981,14.012,13.788,13.885,13045,0
POTX.US,D,20200106,000000,14.037,14.037,13.453,13.57,11001,0
POTX.US,D,20200107,000000,13.509,13.509,13.153,13.209,13653,0
POTX.US,D,20200108,000000,13.18,13.35,12.803,13.202,20484,0
POTX.US,D,20200109,000000,13.17,13.604,13.155,13.564,4610,0
POTX.US,D,20200110,000000,13.519,13.519,13.279,13.279,5669,0
POTX.US,D,20200113,000000,13.331,14.169,13.094,14.138,39546,0
POTX.US,D,20200114,000000,14.169,14.603,13.698,14.522,33611,0
POTX.US,D,20200115,000000,14.696,15.925,14.639,15.921,58112,0
POTX.US,D,20200116,000000,16.053,16.467,15.733,15.834,60547,0
POTX.US,D,20200117,000000,16.016,16.127,15.601,15.912,21261,0
POTX.US,D,20200121,000000,15.874,16.232,15.384,15.49,55679,0
POTX.US,D,20200122,000000,15.601,15.762,15.274,15.578,33935,0
POTX.US,D,20200123,000000,15.526,15.801,15.342,15.544,19601,0
POTX.US,D,20200124,000000,15.978,15.978,14.498,14.661,58063,0
POTX.US,D,20200127,000000,14.594,14.594,13.99,14.018,21084,0
POTX.US,D,20200128,000000,14.122,14.49,14.122,14.49,9343,0
POTX.US,D,20200129,000000,14.584,14.621,14.284,14.295,7836,0
POTX.US,D,20200130,000000,14.075,14.256,13.839,13.952,15272,0
POTX.US,D,20200131,000000,13.858,13.858,13.424,13.468,11673,0
POTX.US,D,20200203,000000,13.548,13.642,13.463,13.529,24453,0
POTX.US,D,20200204,000000,13.717,14.018,13.717,13.894,33808,0
POTX.US,D,20200205,000000,13.981,14.075,13.614,13.727,15821,0
POTX.US,D,20200206,000000,13.961,13.961,13.32,13.32,24968,0
POTX.US,D,20200207,000000,13.104,13.114,12.822,12.977,33622,0
POTX.US,D,20200210,000000,13.114,13.114,12.625,12.629,32947,0
