<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPH.US,D,20050225,000000,26.047,26.256,26.022,26.235,1152968,0
PPH.US,D,20050228,000000,26.175,26.212,25.934,26.012,3678403,0
PPH.US,D,20050301,000000,26.212,26.358,26.175,26.303,3156975,0
PPH.US,D,20050302,000000,26.269,26.427,26.142,26.283,1387909,0
PPH.US,D,20050303,000000,26.345,26.381,26.121,26.243,3348056,0
PPH.US,D,20050304,000000,26.623,26.623,26.243,26.456,1856261,0
PPH.US,D,20050307,000000,26.555,26.639,26.427,26.602,1269571,0
PPH.US,D,20050308,000000,26.618,26.639,26.391,26.411,1277784,0
PPH.US,D,20050309,000000,26.423,26.423,26.209,26.283,1870713,0
PPH.US,D,20050310,000000,26.289,26.494,26.289,26.419,1188849,0
PPH.US,D,20050311,000000,26.427,26.427,26.109,26.179,1406090,0
PPH.US,D,20050314,000000,26.175,26.221,26.007,26.179,1385415,0
PPH.US,D,20050315,000000,26.179,26.311,25.934,25.938,1133044,0
PPH.US,D,20050316,000000,25.92,25.93,25.645,25.716,1637783,0
PPH.US,D,20050317,000000,25.596,25.759,25.558,25.672,744402,0
PPH.US,D,20050318,000000,25.668,25.677,25.422,25.668,1383173,0
PPH.US,D,20050321,000000,25.661,25.661,25.405,25.525,1645004,0
PPH.US,D,20050322,000000,25.672,25.77,25.528,25.55,3325141,0
PPH.US,D,20050323,000000,25.506,26.047,25.506,25.983,2826626,0
PPH.US,D,20050324,000000,26.012,26.209,25.988,26.003,1618105,0
PPH.US,D,20050328,000000,26.069,26.159,26.012,26.026,774295,0
PPH.US,D,20050329,000000,25.955,26.012,25.811,25.85,1280282,0
PPH.US,D,20050330,000000,25.92,26.212,25.92,26.205,1746155,0
PPH.US,D,20050331,000000,26.1,26.126,26.007,26.047,1077983,0
PPH.US,D,20050401,000000,26.196,26.2,25.761,25.84,2117849,0
PPH.US,D,20050404,000000,25.811,26.018,25.811,25.946,1430252,0
PPH.US,D,20050405,000000,26.175,26.56,26.175,26.532,4711039,0
PPH.US,D,20050406,000000,26.61,26.631,26.448,26.465,2020441,0
PPH.US,D,20050407,000000,26.306,26.699,26.031,26.691,3612878,0
PPH.US,D,20050408,000000,26.691,26.756,26.483,26.499,3308200,0
PPH.US,D,20050411,000000,26.61,26.61,26.461,26.499,984564,0
PPH.US,D,20050412,000000,26.411,26.635,26.243,26.597,1921045,0
PPH.US,D,20050413,000000,26.597,27.097,26.555,27.006,9504307,0
PPH.US,D,20050414,000000,27.063,27.227,26.956,27.081,8310720,0
PPH.US,D,20050415,000000,27.641,27.678,27.312,27.312,9297037,0
PPH.US,D,20050418,000000,27.312,27.312,26.96,27.187,4448470,0
PPH.US,D,20050419,000000,27.312,27.338,26.964,27.155,7349588,0
PPH.US,D,20050420,000000,27.063,27.102,26.618,26.703,5700350,0
