<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRFZ.US,D,20060920,000000,44.479,44.523,44.372,44.372,2483,0
PRFZ.US,D,20060921,000000,45.893,45.893,44.142,44.185,2094,0
PRFZ.US,D,20060922,000000,45.259,45.259,43.414,43.573,9855,0
PRFZ.US,D,20060925,000000,43.46,44.134,43.324,44.134,2843,0
PRFZ.US,D,20060926,000000,45.003,45.003,44.049,44.194,6912,0
PRFZ.US,D,20060927,000000,45.463,45.463,44.309,44.433,4702,0
PRFZ.US,D,20060928,000000,44.632,44.632,44.176,44.194,2405,0
PRFZ.US,D,20060929,000000,44.388,44.506,44.001,44.021,6598,0
PRFZ.US,D,20061002,000000,43.86,44.049,43.511,43.633,7196,0
PRFZ.US,D,20061003,000000,43.395,43.581,43.386,43.581,1718,0
PRFZ.US,D,20061004,000000,44.658,44.658,43.614,44.405,3817,0
PRFZ.US,D,20061005,000000,44.632,45.013,44.575,45.013,4397,0
PRFZ.US,D,20061006,000000,44.616,44.979,44.616,44.979,3431,0
PRFZ.US,D,20061009,000000,44.757,45.083,44.703,45.013,5619,0
PRFZ.US,D,20061010,000000,44.985,45.161,44.985,45.161,6183,0
PRFZ.US,D,20061011,000000,45.663,45.663,44.767,44.767,7789,0
PRFZ.US,D,20061012,000000,45.373,45.767,45.329,45.767,2103,0
PRFZ.US,D,20061013,000000,45.884,46.144,45.884,46.056,5584,0
PRFZ.US,D,20061017,000000,47.583,47.583,45.928,46.11,1878,0
PRFZ.US,D,20061018,000000,46.306,46.315,45.964,46.04,3113,0
PRFZ.US,D,20061019,000000,46.023,46.296,46.023,46.232,3215,0
PRFZ.US,D,20061020,000000,45.938,45.981,45.938,45.981,569,0
PRFZ.US,D,20061023,000000,45.989,46.205,45.777,46.065,5946,0
PRFZ.US,D,20061024,000000,46.04,46.35,45.893,46.11,1729,0
PRFZ.US,D,20061025,000000,46.367,46.367,46.056,46.333,9648,0
PRFZ.US,D,20061026,000000,46.427,46.761,46.241,46.761,4936,0
